.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
DRR898354_1	1	0.25	0.5	1	0.5	1	1	0.5	1	1	1
DRR898354_2	1	0.25	0.5	1	0.25	1	0.25	0.5	1	1	1
DRR898355_1	1	1	0.5	1	0.5	0.5	1	1	0.5	1	1
DRR898355_2	1	1	1	1	1	0.5	1	1	0.5	0.5	1
DRR898359_1	1	1	0.5	1	0.5	0.5	1	1	1	1	1
DRR898359_2	1	1	0.5	1	1	0.5	1	1	1	0.5	1
DRR898360_1	1	1	0.5	1	0.5	0.5	1	1	1	1	1
DRR898360_2	1	1	1	1	1	0.5	1	1	1	0.5	1
DRR898362_1	1	1	1	1	0.5	0.5	1	1	1	0.5	0.25
DRR898362_2	1	1	0.5	1	0.5	0.5	1	1	1	0.5	0.25
DRR898363_1	1	1	1	1	0.5	0.5	1	1	1	1	0.5
DRR898363_2	1	1	0.5	1	1	0.5	1	1	1	0.5	0.5
DRR898364_1	1	1	1	1	0.5	1	1	1	1	0.5	0.5
DRR898364_2	1	1	0.5	1	1	0.5	1	1	1	0.5	0.5
DRR898365_1	1	1	1	1	0.5	0.5	1	1	1	0.5	0.5
DRR898365_2	1	1	0.5	1	1	0.5	1	1	1	0.5	0.5
DRR898366_1	1	1	1	1	0.5	1	1	1	1	1	0.5
DRR898366_2	1	1	0.5	1	0.5	1	1	1	1	0.5	0.5
DRR898368_1	1	1	1	1	0.5	1	1	1	1	1	0.5
DRR898368_2	1	1	0.5	1	1	0.5	1	1	1	0.5	0.5
DRR898372_1	1	1	0.5	1	0.5	0.5	1	1	1	1	0.5
DRR898372_2	1	1	0.5	1	1	0.5	1	1	1	0.5	0.5
DRR898376_1	1	1	0.5	1	0.5	1	1	1	1	1	0.25
DRR898376_2	1	1	1	1	0.5	1	1	1	1	0.5	0.25
DRR898377_1	1	1	0.5	1	0.5	1	1	1	1	0.5	0.25
DRR898377_2	1	1	1	1	0.5	0.5	1	1	1	0.5	0.25
DRR898379_1	1	1	0.25	1	0.5	1	1	1	1	0.5	1
DRR898379_2	1	1	0.25	1	1	0.5	1	1	1	0.5	1
DRR898407_1	1	1	0.5	1	0.5	1	1	1	1	0.5	0.25
DRR898407_2	1	1	1	1	1	0.5	1	1	1	0.5	0.25
DRR898409_1	1	1	1	1	0.5	0.5	1	1	1	1	0.25
DRR898409_2	1	1	1	1	1	0.5	1	1	1	0.5	0.25
DRR898410_1	1	1	0.5	1	0.5	0.5	1	1	1	1	1
DRR898410_2	1	1	1	1	1	0.5	1	1	1	0.5	1
DRR898411_1	1	1	1	1	0.5	1	1	1	1	1	1
DRR898411_2	1	1	0.5	1	0.5	1	1	1	1	1	1
DRR898421_1	1	1	1	1	0.5	0.5	1	1	1	1	0.25
DRR898421_2	1	1	1	1	0.5	0.5	1	1	1	0.5	0.25
DRR898438_1	1	1	0.5	1	1	0.5	1	1	1	1	1
DRR898438_2	1	1	1	1	1	0.5	1	1	1	0.5	1
