Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
DRR898354_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 9.884020898773788e-05)	(6, 9.884020898773788e-05)	(7, 9.884020898773788e-05)	(8, 9.884020898773788e-05)	(9, 9.884020898773788e-05)	(10, 9.884020898773788e-05)	(15, 0.00011860825078528546)	(20, 0.0002767525851656661)	(25, 0.0003360567105583088)	(30, 0.00041512887774849906)	(35, 0.0005732732121288798)	(40, 0.0008500257972945457)	(45, 0.0015023711766136156)	(50, 0.00260938151727628)	(55, 0.004882706323994251)	(60, 0.007808376510031292)	(65, 0.011050335364829095)	(70, 0.015537680852872396)	(75, 0.021329717099553835)	(80, 0.02753688222398377)	(85, 0.03378358343200881)	(90, 0.04088031043732839)	(95, 0.04870845498915723)	(100, 0.055943558287059644)	(105, 0.06367286262990075)	(110, 0.07051260509185221)	(115, 0.0790721671901903)	(120, 0.08682123957482894)	(125, 0.09360167791138777)	(130, 0.09909719353110599)	(135, 0.10548227103171386)	(140, 0.11147198769637079)	(145, 0.11841057036730998)	(150, 0.12594219429217562)	(155, 0.1337505708022069)	(160, 0.1411438184344897)	(165, 0.1477068083112755)	(170, 0.15419072602087108)	(175, 0.16205840665629506)	(180, 0.16978771099913614)	(185, 0.17799144834511837)	(190, 0.18625448981649328)	(195, 0.1944977632460706)	(200, 0.2043422480612493)	(205, 0.21396928441665497)	(210, 0.22357655273026306)	(215, 0.23245240349736193)	(220, 0.2407747490941295)	(225, 0.25030294524054747)	(230, 0.25949508467640703)	(235, 0.26799534264935254)	(240, 0.2772467862106048)	(245, 0.28790176073948287)	(250, 0.2994858332328458)	(255, 0.31079315314104294)	(260, 0.32132951941913585)	(265, 0.3360369425165113)	(270, 0.35293861825341444)	(275, 0.3719554744626552)	(280, 0.3870187223123865)	(285, 0.4015482330335839)	(290, 0.4035645732969338)
DRR898354_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 9.884020898773788e-05)	(9, 9.884020898773788e-05)	(10, 9.884020898773788e-05)	(15, 9.884020898773788e-05)	(20, 9.884020898773788e-05)	(25, 9.884020898773788e-05)	(30, 9.884020898773788e-05)	(35, 9.884020898773788e-05)	(40, 9.884020898773788e-05)	(45, 0.00019768041797547575)	(50, 0.00029652062696321365)	(55, 0.00029652062696321365)	(60, 0.00037559279415340396)	(65, 0.029869511156094385)	(70, 0.03716391857938944)	(75, 0.03718368662118699)	(80, 0.03734183095556738)	(85, 0.03736159899736492)	(90, 0.037559279415340395)	(95, 0.0378953361258987)	(100, 0.037974408293088895)	(105, 0.03819185675286192)	(110, 0.03854768150521777)	(115, 0.039437243386107414)	(120, 0.041275671273279343)	(125, 0.04378621258156788)	(130, 0.04744330031411419)	(135, 0.05151551692440899)	(140, 0.056852888209746835)	(145, 0.063574022420913)	(150, 0.07019631642309146)	(155, 0.076245337213141)	(160, 0.08247227037936848)	(165, 0.08911433242334446)	(170, 0.09662618830641254)	(175, 0.10368337922813704)	(180, 0.1116894361561438)	(185, 0.11856871470169036)	(190, 0.12418283857219388)	(195, 0.13031093152943363)	(200, 0.13709136986599244)	(205, 0.14365435974277824)	(210, 0.15013827745237385)	(215, 0.1571361642487057)	(220, 0.1622560870742705)	(225, 0.16864116457487838)	(230, 0.17382039152583584)	(235, 0.17992871644127803)	(240, 0.18674869086143195)	(245, 0.19325237661282513)	(250, 0.2003688716599422)	(255, 0.2077028151668324)	(260, 0.21493791846473478)	(265, 0.2232404960197048)	(270, 0.23140469728209193)	(275, 0.23814559953505565)	(280, 0.24354227494578615)	(285, 0.24961106377763326)	(290, 0.2523390535456948)
DRR898354_2 - illumina_universal_adapter	(1, 9.884020898773788e-05)	(2, 9.884020898773788e-05)	(3, 9.884020898773788e-05)	(4, 0.00019768041797547575)	(5, 0.00019768041797547575)	(6, 0.00019768041797547575)	(7, 0.00019768041797547575)	(8, 0.00019768041797547575)	(9, 0.00019768041797547575)	(10, 0.0002569845433681185)	(15, 0.00029652062696321365)	(20, 0.00029652062696321365)	(25, 0.00029652062696321365)	(30, 0.00029652062696321365)	(35, 0.00043489691954604667)	(40, 0.0004942010449386894)	(45, 0.0008302577554969981)	(50, 0.0018779639707670198)	(55, 0.003933840317711967)	(60, 0.006721134211166177)	(65, 0.011030567323031547)	(70, 0.015774897354442964)	(75, 0.02174484597730233)	(80, 0.0285450523556587)	(85, 0.03583945977895375)	(90, 0.04538742396716924)	(95, 0.05457956340302885)	(100, 0.06462172863618303)	(105, 0.0766209300072944)	(110, 0.09111090464489678)	(115, 0.10619392053642558)	(120, 0.12185020964008327)	(125, 0.13936469467271043)	(130, 0.15606868999163812)	(135, 0.1740180719438113)	(140, 0.19489312408202156)	(145, 0.21691472264448955)	(150, 0.24745634722170057)	(155, 0.28027129660562955)	(160, 0.31696078218187784)	(165, 0.36238774223264214)	(170, 0.4193987747767694)	(175, 0.4872426942259526)	(180, 0.5666113820431061)	(185, 0.6546977762929782)	(190, 0.7459865933140529)	(195, 0.8459733487260486)	(200, 0.9629606200839351)	(205, 1.088112092704209)	(210, 1.2221591841333788)	(215, 1.3703008893642004)	(220, 1.5477783686225826)	(225, 1.7542951012815622)	(230, 1.9839404428436722)	(235, 2.2161951659230588)	(240, 2.4353041412070757)	(245, 2.6253936311322934)	(250, 2.820306523256113)	(255, 2.9994642860672864)	(260, 3.108801325249522)	(265, 3.162392486562674)	(270, 3.1868257862244422)	(275, 3.2043007351734745)	(280, 3.2109625652592477)	(285, 3.21384869936169)	(290, 3.2141847560722483)
DRR898354_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 9.884020898773788e-05)	(10, 9.884020898773788e-05)	(15, 0.00011860825078528546)	(20, 0.00019768041797547575)	(25, 0.00019768041797547575)	(30, 0.00019768041797547575)	(35, 0.0002767525851656661)	(40, 0.00029652062696321365)	(45, 0.00045466496134359427)	(50, 0.0005732732121288798)	(55, 0.0006325773375215225)	(60, 0.0007709536301043554)	(65, 0.0010477062152700217)	(70, 0.028070619352517555)	(75, 0.02809038739431511)	(80, 0.0281694595615053)	(85, 0.0281694595615053)	(90, 0.0281694595615053)	(95, 0.0281694595615053)	(100, 0.0281694595615053)	(105, 0.0281694595615053)	(110, 0.0281694595615053)	(115, 0.028545052355658705)	(120, 0.02888110906621701)	(125, 0.03002765549047477)	(130, 0.030936985413161956)	(135, 0.032202140088205)	(140, 0.03435685664413769)	(145, 0.03615574844771452)	(150, 0.03779649591691096)	(155, 0.03963492380408289)	(160, 0.04224430532135918)	(165, 0.044794382713242806)	(170, 0.046870027101985304)	(175, 0.04823402198601608)	(180, 0.05048757875093651)	(185, 0.05353185718775884)	(190, 0.055528429409311145)	(195, 0.05788082638321931)	(200, 0.05948203776882066)	(205, 0.061142553279814646)	(210, 0.0631193574595694)	(215, 0.06450312038539775)	(220, 0.06600549156201135)	(225, 0.06752763078042252)	(230, 0.06877301741366801)	(235, 0.07019631642309146)	(240, 0.0710068061367909)	(245, 0.07159984739071731)	(250, 0.07260801752239224)	(255, 0.07339873919429415)	(260, 0.07397201240642304)	(265, 0.07525693512326362)	(270, 0.08956899738468807)	(275, 0.1044938689418365)	(280, 0.10548227103171388)	(285, 0.10605554424384275)	(290, 0.10615438445283049)
DRR898354_2 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 9.884020898773788e-05)	(7, 9.884020898773788e-05)	(8, 9.884020898773788e-05)	(9, 9.884020898773788e-05)	(10, 9.884020898773788e-05)	(15, 9.884020898773788e-05)	(20, 0.00019768041797547575)	(25, 0.00029652062696321365)	(30, 0.0003953608359509515)	(35, 0.0003953608359509515)	(40, 0.0003953608359509515)	(45, 0.00045466496134359427)	(50, 0.0004942010449386894)	(55, 0.0004942010449386894)	(60, 0.0004942010449386894)	(65, 0.0004942010449386894)	(70, 0.0004942010449386894)	(75, 0.0004942010449386894)	(80, 0.0006721134211166176)	(85, 0.0008895618808896409)	(90, 0.0009884020898773787)	(95, 0.0011860825078528546)	(100, 0.0011860825078528546)	(105, 0.0011860825078528546)	(110, 0.0011860825078528546)	(115, 0.0012849227168405925)	(120, 0.001363994884030783)	(125, 0.0014628350930185208)	(130, 0.0015616753020062583)	(135, 0.0017988918035768294)	(140, 0.0019570361379572096)	(145, 0.0019768041797547575)	(150, 0.0021349485141351383)	(155, 0.002233788723122876)	(160, 0.00253030935008609)	(165, 0.002668685642668923)	(170, 0.002688453684466471)	(175, 0.0029454382278345896)	(180, 0.0030640464786198746)	(185, 0.0031233506040125167)	(190, 0.003360567105583088)	(195, 0.0034989433981659213)	(200, 0.003657087732546302)	(205, 0.0037559279415340396)	(210, 0.003874536192319325)	(215, 0.0040722166102948)	(220, 0.004329201153662919)	(225, 0.004605953738828586)	(230, 0.004942010449386894)	(235, 0.005416443452528036)	(240, 0.007037422879926937)	(245, 0.009429355937430195)	(250, 0.01286899521020347)	(255, 0.015201624142314085)	(260, 0.026726392510284323)	(265, 0.099097193531106)	(270, 0.18923946412792297)	(275, 0.26273704353120486)	(280, 0.32215977717463284)	(285, 0.38660359343463796)	(290, 0.41166947043392826)
DRR898355_1 - illumina_universal_adapter	(1, 0.00012399523999987247)	(2, 0.00021256326857120993)	(3, 0.0003542721142853499)	(4, 0.00044284014285668737)	(5, 0.0004959809599994899)	(6, 0.0006554034114278973)	(7, 0.0007793986514277697)	(8, 0.0011513843714273872)	(9, 0.0015233700914270044)	(10, 0.002143346291426367)	(15, 0.0025932718765687614)	(20, 0.0031778208651395885)	(25, 0.003854480603424607)	(30, 0.005140488378280427)	(35, 0.007354689092563862)	(40, 0.010132182468561008)	(45, 0.013348973266271985)	(50, 0.017330991830839314)	(55, 0.022095951767977275)	(60, 0.028040637845685445)	(65, 0.03541658326510643)	(70, 0.043387705836526805)	(75, 0.05220553876108917)	(80, 0.06212161523993611)	(85, 0.07250887363078257)	(90, 0.08402980278734215)	(95, 0.09607505467304403)	(100, 0.10834349799074572)	(105, 0.12280842841701653)	(110, 0.13814486824442934)	(115, 0.15417213869469854)	(120, 0.1704438569038247)	(125, 0.18887663501009144)	(130, 0.20859542089121402)	(135, 0.22940890760547833)	(140, 0.24283582073689308)																														
DRR898355_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 5.314081714280248e-05)	(4, 5.314081714280248e-05)	(5, 5.314081714280248e-05)	(6, 5.314081714280248e-05)	(7, 7.085442285706998e-05)	(8, 8.856802857133747e-05)	(9, 0.00010628163428560496)	(10, 0.00012753796114272595)	(15, 0.00021964871085691692)	(20, 0.0002834176914282799)	(25, 0.0003719857199996174)	(30, 0.0004605537485709549)	(35, 0.0005703781039994133)	(40, 0.0007050015074278463)	(45, 0.004067043871995817)	(50, 0.005009407695994848)	(55, 0.005126317493709013)	(60, 0.005384936137137318)	(65, 0.017086544071982422)	(70, 0.06885278541135777)	(75, 0.08195376819762998)	(80, 0.08345588196219987)	(85, 0.08436990401705609)	(90, 0.08528392607191229)	(95, 0.08648490853933963)	(100, 0.0882314700627664)	(105, 0.09100896343876354)	(110, 0.09494846934961662)	(115, 0.09896237240446963)	(120, 0.10415600159989287)	(125, 0.11055061326274344)	(130, 0.11799387038387862)	(135, 0.12632635051187008)	(140, 0.13155894963986467)																														
DRR898355_2 - illumina_universal_adapter	(1, 0.00012399523999987247)	(2, 0.00021256326857120993)	(3, 0.0003719857199996174)	(4, 0.00047826735428522235)	(5, 0.0005136945657137574)	(6, 0.0006731170171421648)	(7, 0.0007971122571420373)	(8, 0.0011868115828559222)	(9, 0.001576510908569807)	(10, 0.0022035725508548765)	(15, 0.002646412693711564)	(20, 0.003220333518853831)	(25, 0.004028073939424429)	(30, 0.005583328521137115)	(35, 0.00797820801370608)	(40, 0.010943465610274459)	(45, 0.014397618724556619)	(50, 0.0186807685862665)	(55, 0.02368663356111849)	(60, 0.02990765188796924)	(65, 0.03768392479653267)	(70, 0.04602349036680981)	(75, 0.055209766290228925)	(80, 0.06552617025821832)	(85, 0.07620747450392161)	(90, 0.08817478652448073)	(95, 0.10056013963989656)	(100, 0.113197025956455)	(105, 0.12787806237243987)	(110, 0.14362900057356656)	(115, 0.16014870926269242)	(120, 0.17680304135524674)	(125, 0.1955830061335131)	(130, 0.21549664167749266)	(135, 0.2367317122077565)	(140, 0.25043495758831386)																														
DRR898355_2 - polyg	(1, 0.838012972736281)	(2, 0.8501822198619827)	(3, 0.8535655185534078)	(4, 0.8565059771019762)	(5, 0.8604206839648293)	(6, 0.8638216962619686)	(7, 0.8676301214905362)	(8, 0.8713322650848181)	(9, 0.8751229767076713)	(10, 0.8855917176848035)	(15, 0.8925460792882248)	(20, 0.8947071391853655)	(25, 0.89585498083565)	(30, 0.8965741532276492)	(35, 0.8968611136402205)	(40, 0.8970488778607916)	(45, 0.8971835012642201)	(50, 0.8972897828985056)	(55, 0.8973889790905055)	(60, 0.8975484015419338)	(65, 0.8976830249453623)	(70, 0.897789306579648)	(75, 0.8980266688962193)	(80, 0.8986891577499329)	(85, 0.9000566481110743)	(90, 0.9008502176470733)	(95, 0.9015693900390727)	(100, 0.9023452459693576)	(105, 0.9038402742916418)	(110, 0.9061217867076395)	(115, 0.9094094319282074)	(120, 0.912923811301918)	(125, 0.917182162115628)	(130, 0.9223049368881944)	(135, 0.928476357119045)	(140, 0.9330110401818975)																														
DRR898359_1 - illumina_universal_adapter	(1, 0.0009762007987619477)	(2, 0.001263318680750756)	(3, 0.001722707291932849)	(4, 0.002182095903114942)	(5, 0.0025840609378992734)	(6, 0.003675108889456744)	(7, 0.004708733264616453)	(8, 0.009015501494448576)	(9, 0.014011352641053838)	(10, 0.019845588003066423)	(15, 0.02554200678172437)	(20, 0.03128436442150053)	(25, 0.03891021536712328)	(30, 0.056033925848935795)	(35, 0.08188601994320809)	(40, 0.11872898656001193)	(45, 0.16998527085265397)	(50, 0.2380092394534424)	(55, 0.32096333791764886)	(60, 0.42684092807984175)	(65, 0.5463164211330247)	(70, 0.6882904714188505)	(75, 0.8438394551651072)	(80, 1.0144908395039751)	(85, 1.1923775944689612)	(90, 1.3828401126650571)	(95, 1.5830876082793313)	(100, 1.7965310417498113)	(105, 2.019770937353749)	(110, 2.251727731854868)	(115, 2.4810430418416893)	(120, 2.7125519324469045)	(125, 2.9443594256493886)	(130, 3.1805425953733826)	(135, 3.4235017471123115)	(140, 3.5718038755171713)																														
