Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
DRR898354_1	(1, 0.013936469467271041)	(2, 0.013936469467271041)	(3, 0.013936469467271041)	(4, 0.014232990094234255)	(5, 0.014331830303221993)	(6, 0.01403530967625878)	(7, 0.01403530967625878)	(8, 0.013936469467271041)	(9, 0.013936469467271041)	(10, 0.01403530967625878)	(15, 0.013936469467271041)	(20, 0.013936469467271041)	(25, 0.013936469467271041)	(30, 0.013936469467271041)	(35, 0.0027877512930420895)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.002758923468062762)	(60, 0.03517725134408602)	(65, 0.004258540933791563)	(70, 0.011420292609570205)	(75, 0.01641457554696623)	(80, 0.0010472648061425572)	(85, 0.0007847982339797454)	(90, 2.3096747192705864e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0025500140633275595)	(110, 0.010437555540346964)	(115, 0.0)	(120, 0.006426963672014413)	(125, 0.007649032840339878)	(130, 0.0)	(135, 0.0033815480407916776)	(140, 0.0010949744323470048)	(145, 0.0)	(150, 0.0015833979287715638)	(155, 0.0008632813775568611)	(160, 0.004627641530337524)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.00010361083769362274)	(240, 0.03804951317700123)	(245, 0.01982949013275072)	(250, 0.0)	(255, 0.0018980554421994668)	(260, 0.000867088360639391)	(265, 0.00015378984310360206)	(270, 0.000816555832821625)	(275, 0.0)	(280, 0.001824321489230118)	(285, 0.006327014626907451)	(290, 0.0)	(295, 0.003123906632678563)	(300, 0.004788240082357729)
DRR898354_2	(1, 0.19995374278219372)	(2, 0.012750386959418188)	(3, 0.012750386959418188)	(4, 0.012750386959418188)	(5, 0.012750386959418188)	(6, 0.012750386959418188)	(7, 0.012750386959418188)	(8, 0.012750386959418188)	(9, 0.012750386959418188)	(10, 0.016348170566571844)	(15, 0.013481804505927446)	(20, 0.01288876325200102)	(25, 0.013007371502786306)	(30, 0.014608582888387659)	(35, 0.004389182918011842)	(40, 0.0016218809942842541)	(45, 0.0007129709618810075)	(50, 5.960427529545839e-05)	(55, 0.0025588040150033874)	(60, 0.004260188058026588)	(65, 0.00010234199419516208)	(70, 0.006457924331459008)	(75, 0.0026810433003387688)	(80, 0.002441718149857835)	(85, 0.0110872616770704)	(90, 0.0001844992068840344)	(95, 0.0004043945796853572)	(100, 0.0023836273795727557)	(105, 0.0014491394018715253)	(110, 0.001289940438974629)	(115, 0.0004364289420035034)	(120, 0.00028279743219931567)	(125, 0.000293339606889726)	(130, 0.0006999625672192314)	(135, 0.00022115044991479388)	(140, 0.0002295800816321176)	(145, 0.00020434700573738275)	(150, 0.0001769912757460359)	(155, 0.0001840489216757728)	(160, 0.00019161206680822965)	(165, 0.00027967971079519735)	(170, 0.0020028824817049204)	(175, 0.0011355968107200339)	(180, 0.0001833374660653809)	(185, 4.818522400106008e-05)	(190, 0.011509737897409193)	(195, 0.0055991967019131655)	(200, 0.002968234846741074)	(205, 0.001526175375160322)	(210, 0.0012265634390876332)	(215, 0.0008296790227146969)	(220, 0.00171777033410633)	(225, 0.0015647248431363346)	(230, 0.0011844865703609408)	(235, 0.05293870110000377)	(240, 0.00035914741277386786)	(245, 0.8692754830414864)	(250, 0.6658846159450913)	(255, 1.373995545103088)	(260, 0.9781577355600649)	(265, 4.33810335944856)	(270, 6.729335329645535)	(275, 4.3982971810222935)	(280, 7.447020492102509)	(285, 16.973281759528053)	(290, 21.294097857942305)	(295, 13.87138908854792)	(300, 18.569666957720923)
DRR898355_1	(1, 0.0)	(2, 0.016668502977125712)	(3, 0.008396249108562792)	(4, 0.0007085442285706998)	(5, 0.0)	(6, 0.0010451027371417823)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.5427211428534986e-06)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.015619857518841075)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.03249383832225229)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)																														
DRR898355_2	(1, 0.1238712447598726)	(2, 0.011974397462844826)	(3, 0.0)	(4, 3.542721142853499e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 9.919619199989797e-05)	(15, 0.0)	(20, 3.5427211428534986e-06)	(25, 0.0)	(30, 2.834176914282799e-05)	(35, 7.085442285706997e-06)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 1.4170884571413994e-05)	(75, 3.5427211428534986e-06)	(80, 0.017012146927982502)	(85, 0.0)	(90, 0.016891694409125482)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.01749395700341058)	(115, 0.0)	(120, 3.8969932571388486e-05)	(125, 0.0)	(130, 0.01694837794741114)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)																														
DRR898359_1	(1, 0.0)	(2, 0.01693995503733968)	(3, 0.00878580718885753)	(4, 0.0009762007987619477)	(5, 0.0)	(6, 0.0009762007987619477)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 1.1484715279552326e-05)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.015320610182922802)	(60, 0.0)	(65, 1.1484715279552326e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.03363873105380876)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)																														
DRR898359_2	(1, 0.11484715279552325)	(2, 0.012058951043529942)	(3, 0.0)	(4, 5.742357639776163e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.039300695686628e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.445414583865698e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.016951439752619233)	(85, 0.0)	(90, 0.017583099092994613)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.018042487704176702)	(115, 0.0)	(120, 3.445414583865698e-05)	(125, 0.0)	(130, 0.017284496495726248)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)																														
DRR898360_1	(1, 0.0)	(2, 0.016925715081819975)	(3, 0.007054851470180654)	(4, 0.0005928446613597189)	(5, 0.0)	(6, 0.0007706980597676345)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 5.928446613597189e-06)	(40, 0.0)	(45, 5.928446613597189e-06)	(50, 0.0)	(55, 0.015301320709694343)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.034218993853682975)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)																														
DRR898360_2	(1, 0.11518971770219338)	(2, 0.010434066039931052)	(3, 0.0)	(4, 8.892669920395783e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.9284466135971887e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 2.3713786454388756e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 5.928446613597189e-06)	(55, 5.928446613597189e-06)	(60, 0.0)	(65, 0.0)	(70, 5.928446613597189e-06)	(75, 0.0)	(80, 0.017109496926841487)	(85, 0.0)	(90, 0.016813074596161628)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.017625271782224443)	(115, 0.0)	(120, 4.742757290877751e-05)	(125, 0.0)	(130, 0.017411847704134946)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)																														
DRR898362_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 4.791461232766311e-05)	(6, 0.0)	(7, 0.00014374383698298937)	(8, 0.0)	(9, 0.0)	(10, 4.791461232766311e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.000661221650121751)	(35, 0.001149950695863915)	(40, 0.001121201928467317)	(45, 0.000306653518897044)	(50, 0.0020507454076239815)	(55, 0.0021561575547448405)	(60, 0.0013511920676400999)	(65, 0.0015907651292784155)	(70, 0.0009391264016221971)	(75, 0.0004216485884834355)	(80, 0.0017345089662614047)	(85, 0.0006708045725872837)	(90, 0.0022519867794001665)	(95, 0.0029898718092461786)	(100, 0.0027215499802112648)	(105, 0.004801044155231845)	(110, 0.0034019374752640814)	(115, 0.002577806143228276)	(120, 0.00409190789278243)	(125, 0.0019261674155720573)	(130, 0.001954916182968655)	(135, 0.0013607749901056324)	(140, 0.0004983119682076965)	(145, 0.001092453161070719)	(150, 0.0)																														
DRR898362_2	(1, 0.002108242942417177)	(2, 9.582922465532622e-05)	(3, 0.0005749753479319575)	(4, 0.0)	(5, 0.0005749753479319575)	(6, 0.0005749753479319575)	(7, 0.0005270607356042943)	(8, 0.0)	(9, 0.0005270607356042943)	(10, 0.0015428505169507525)	(15, 0.0020219966402273836)	(20, 0.0016674285090026765)	(25, 0.0011882823857260454)	(30, 0.0006995533399838815)	(35, 0.0007762167197081425)	(40, 0.0009391264016221971)	(45, 0.0005941411928630227)	(50, 0.0003545681312247071)	(55, 0.0014278554473643608)	(60, 0.0007762167197081425)	(65, 0.00024915598410384825)	(70, 0.000507894890673229)	(75, 0.00045998027834556597)	(80, 0.0006420558051906857)	(85, 0.0)	(90, 7.6663379724261e-05)	(95, 0.0007283021073804794)	(100, 2.8748767396597873e-05)	(105, 9.582922465532622e-05)	(110, 0.0003641510536902397)	(115, 0.000153326759448522)	(120, 0.0008912117892945341)	(125, 0.0005653924254664247)	(130, 0.0005941411928630227)	(135, 0.0005653924254664247)	(140, 0.001092453161070719)	(145, 0.00058455827039749)	(150, 0.0012218226143554097)																														
DRR898363_1	(1, 0.00020155222083673732)	(2, 0.15418744894010405)	(3, 0.0)	(4, 0.029359440168551406)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01222750139742873)	(15, 0.0059525089220449755)	(20, 0.0)	(25, 0.0)	(30, 0.00937889667626951)	(35, 0.001793814765446962)	(40, 0.015539676226512448)	(45, 8.73392956959195e-05)	(50, 2.0155222083673733e-05)	(55, 0.0)	(60, 0.000604656662510212)	(65, 0.0006248118845938857)	(70, 0.0)	(75, 0.0)	(80, 6.718407361224578e-06)	(85, 0.0)	(90, 6.718407361224578e-06)	(95, 0.0008666745495979704)	(100, 0.00010749451777959325)	(105, 2.0155222083673733e-05)	(110, 0.00012764973986326698)	(115, 0.0)	(120, 0.0)	(125, 1.3436814722449156e-05)	(130, 0.0)	(135, 0.002418626650040848)	(140, 0.0)	(145, 0.0)	(150, 0.042258782302102595)																														
DRR898363_2	(1, 0.0388995786214903)	(2, 0.02882196757965344)	(3, 0.0030568753493571826)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.012825439652577717)	(15, 0.004293062303822506)	(20, 0.000732306402373479)	(25, 1.3436814722449156e-05)	(30, 0.00873392956959195)	(35, 0.002324568946983704)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 6.718407361224578e-06)	(65, 0.0021431719482306404)	(70, 0.001988648578922475)	(75, 1.3436814722449156e-05)	(80, 0.0)	(85, 0.00016796018403061444)	(90, 0.0)	(95, 0.00036279399750612716)	(100, 0.015506084189706323)	(105, 7.390248097347035e-05)	(110, 0.0001209313325020424)	(115, 6.718407361224578e-06)	(120, 0.0)	(125, 0.001209313325020424)	(130, 0.0159091886313798)	(135, 0.00011421292514081782)	(140, 0.002485810723653094)	(145, 8.73392956959195e-05)	(150, 0.043199359332674034)																														
DRR898364_1	(1, 0.00021316572416964338)	(2, 0.15399700958941237)	(3, 0.0)	(4, 0.03157897942341717)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.011669300785972477)	(15, 0.0060478161171558815)	(20, 0.0)	(25, 0.0)	(30, 0.008800699183575277)	(35, 0.001577426358855361)	(40, 0.016115328747225037)	(45, 9.744718819183697e-05)	(50, 2.4361797047959242e-05)	(55, 0.0)	(60, 0.0005237786365311237)	(65, 0.0004933263902211747)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 6.0904492619898105e-06)	(95, 0.000743034809962757)	(100, 5.48140433579083e-05)	(105, 3.0452246309949056e-05)	(110, 9.135673892984716e-05)	(115, 0.0)	(120, 0.0)	(125, 1.2180898523979621e-05)	(130, 0.0)	(135, 0.002357003864390057)	(140, 0.0)	(145, 0.0)	(150, 0.04117143701105112)																														
