Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
DRR898354_1	(1, 33.49866763398285)	(2, 33.522863717143046)	(3, 33.57558113100875)	(4, 33.590331055395986)	(5, 33.6235571800493)	(6, 37.047011368600835)	(7, 37.10611484836924)	(8, 36.9562068686038)	(9, 36.88901430613185)	(10, 36.83532825821807)	(15, 36.851171948357965)	(20, 36.80225652197119)	(25, 36.547757809859114)	(30, 36.530775875872514)	(35, 36.41370015838898)	(40, 36.43950096325311)	(45, 36.47037717815381)	(50, 36.43832971706366)	(55, 36.213298483772036)	(60, 36.333795427420085)	(65, 36.333178763407204)	(70, 36.17594224631473)	(75, 36.1464795800164)	(80, 36.18458443572757)	(85, 36.06267974617843)	(90, 36.02118709048888)	(95, 35.9709992340144)	(100, 36.004586274055534)	(105, 35.93334786667337)	(110, 35.81125565364208)	(115, 35.77132687796821)	(120, 35.72726583656307)	(125, 35.64184565870747)	(130, 35.45932930807361)	(135, 35.34529556120568)	(140, 35.308802574999866)	(145, 35.26484723264949)	(150, 35.10980827271547)	(155, 34.82790689104721)	(160, 34.798668682870684)	(165, 34.63617936346606)	(170, 34.097032373732915)	(175, 34.05096653406397)	(180, 33.964266117029084)	(185, 33.90816175022034)	(190, 33.6333760250334)	(195, 33.33430924398332)	(200, 33.002660502513024)	(205, 33.0288025554252)	(210, 32.62729427181932)	(215, 32.16596000069605)	(220, 31.45129367842307)	(225, 31.20597833915379)	(230, 30.703228510130362)	(235, 29.14820345927771)	(240, 29.207050694570206)	(245, 28.275343450058422)	(250, 27.628617567172977)	(255, 26.372333130986313)	(260, 25.246640864913026)	(265, 24.33131288810562)	(270, 23.4944972870857)	(275, 22.220242487589957)	(280, 21.13011511949939)	(285, 20.64079827137177)	(290, 19.525292265757628)	(295, 19.078973613943088)	(300, 16.821975842662038)
DRR898354_2	(1, 32.72996064182878)	(2, 32.85538392502377)	(3, 32.86261803991958)	(4, 32.977843978753306)	(5, 32.95618018174738)	(6, 35.98445144672414)	(7, 36.154959702846796)	(8, 35.83091701969094)	(9, 36.04554457989946)	(10, 35.95933357977492)	(15, 35.92568461670756)	(20, 35.84099575580142)	(25, 35.96914683108406)	(30, 35.89623221123338)	(35, 35.786551513876475)	(40, 35.712303171342356)	(45, 35.39087858892094)	(50, 35.35338420120006)	(55, 35.386896067801025)	(60, 35.13856301970189)	(65, 35.240452156479556)	(70, 35.16342450823372)	(75, 34.90383516144457)	(80, 34.700024965775356)	(85, 34.707561922077375)	(90, 34.54096554088049)	(95, 34.356840248252354)	(100, 34.05039105727683)	(105, 33.976172857828594)	(110, 33.7914128696014)	(115, 33.61072514163765)	(120, 33.27207017769566)	(125, 33.08067776355762)	(130, 32.461653671465825)	(135, 32.399642446474004)	(140, 31.77984812278517)	(145, 31.701084404374917)	(150, 31.10102042704549)	(155, 30.475281199334496)	(160, 30.3235033328896)	(165, 30.014948969290465)	(170, 28.87781842702027)	(175, 28.647863507703697)	(180, 27.579709772699594)	(185, 27.159866029644938)	(190, 26.11005656565815)	(195, 24.841524655824344)	(200, 23.335614125448977)	(205, 23.210973724323008)	(210, 21.99366457862832)	(215, 20.893234068647835)	(220, 19.58567267325244)	(225, 18.792308235600956)	(230, 17.7047420778842)	(235, 17.037105588604494)	(240, 15.909881313652864)	(245, 15.548531330315786)	(250, 14.687048616692039)	(255, 13.903843554813898)	(260, 13.670039392235447)	(265, 12.803283193375421)	(270, 12.47253702017236)	(275, 12.408827310254102)	(280, 12.209190684173539)	(285, 10.855511102694786)	(290, 10.176411088990477)	(295, 10.717641254255756)	(300, 9.860778613207152)
DRR898355_1	(1, 38.547599824139326)	(2, 39.141295055884655)	(3, 39.196465497970195)	(4, 39.28547353250748)	(5, 39.30218809085946)	(6, 39.25319615444705)	(7, 39.242862391145465)	(8, 39.25176099811208)	(9, 39.246288202490604)	(10, 39.264145359265584)	(15, 39.474233966264094)	(20, 39.520748902907826)	(25, 39.32532957049112)	(30, 39.29144124627261)	(35, 39.3378084514447)	(40, 39.35037462504725)	(45, 39.343523002356974)	(50, 39.34087928213133)	(55, 39.32541466665297)	(60, 39.3208415096385)	(65, 39.30766017793671)	(70, 39.29897271715021)	(75, 39.28593068524375)	(80, 39.25665108695999)	(85, 39.23638431297248)	(90, 39.201937585047446)	(95, 39.16310185075295)	(100, 39.14617146982895)	(105, 39.10809926279516)	(110, 39.070584963486944)	(115, 39.03497806524204)	(120, 38.9948213210878)	(125, 38.94485180620323)	(130, 38.894361653019516)	(135, 38.838340603587575)	(140, 38.81857859650851)	(145, 38.77285127762924)	(150, 38.36272965246968)																														
DRR898355_2	(1, 37.352286773356894)	(2, 38.4874153688203)	(3, 38.61725184744051)	(4, 38.82895281768555)	(5, 38.93792692003972)	(6, 38.96150727196655)	(7, 38.99601621007486)	(8, 39.01259897920033)	(9, 39.04736937012898)	(10, 39.132214707323406)	(15, 39.202785429071355)	(20, 39.25741468507512)	(25, 38.95346515326342)	(30, 38.90566987719866)	(35, 38.958134176312015)	(40, 38.983564962346186)	(45, 39.00547995191819)	(50, 39.02427054485988)	(55, 39.036675878922544)	(60, 39.04765094560541)	(65, 39.04884328383325)	(70, 39.04836529989666)	(75, 39.03310474515613)	(80, 39.01792765692572)	(85, 39.00591641516299)	(90, 38.98327559288324)	(95, 38.97171994505948)	(100, 38.93690406559135)	(105, 38.910582781170724)	(110, 38.85513451889315)	(115, 38.82130252394082)	(120, 38.783585510128816)	(125, 38.73726265982543)	(130, 38.67923657193548)	(135, 38.6299967158975)	(140, 38.573252951352416)	(145, 38.55409363199418)	(150, 38.18343182688564)																														
DRR898359_1	(1, 38.75563109946051)	(2, 39.27463112530111)	(3, 39.33779935628171)	(4, 39.4094754643414)	(5, 39.42485924045835)	(6, 39.385378234741836)	(7, 39.379641619459704)	(8, 39.38669782852746)	(9, 39.383231741456086)	(10, 39.39672490374373)	(15, 39.58072152723743)	(20, 39.6198467364746)	(25, 39.47915828521716)	(30, 39.45560060754144)	(35, 39.497704033144885)	(40, 39.503516217853566)	(45, 39.49313036013196)	(50, 39.48647473793316)	(55, 39.46888934189711)	(60, 39.4632117580515)	(65, 39.45321339462343)	(70, 39.44247036225663)	(75, 39.42784848215132)	(80, 39.4005235881696)	(85, 39.37507070277844)	(90, 39.33808991957828)	(95, 39.28970596257706)	(100, 39.26221729655545)	(105, 39.21134414236453)	(110, 39.155594578065916)	(115, 39.09561220710387)	(120, 39.035561846627374)	(125, 38.964139780469665)	(130, 38.89387675177798)	(135, 38.81467539887852)	(140, 38.767350562320374)	(145, 38.69851623220946)	(150, 38.308814806094944)																														
DRR898359_2	(1, 38.03567956495898)	(2, 38.94569394956487)	(3, 39.02722624027747)	(4, 39.16358541326312)	(5, 39.2422821277732)	(6, 39.261089497514995)	(7, 39.279832552851225)	(8, 39.294872935981324)	(9, 39.32788919546698)	(10, 39.380157742564364)	(15, 39.431966441661956)	(20, 39.47257226039295)	(25, 39.27359543367721)	(30, 39.241118266726765)	(35, 39.27526577066747)	(40, 39.28364593771264)	(45, 39.297900306929016)	(50, 39.31018573655786)	(55, 39.31335827430668)	(60, 39.31578889944845)	(65, 39.30971348506556)	(70, 39.299059344395026)	(75, 39.27750253381531)	(80, 39.25260734619813)	(85, 39.23324687256847)	(90, 39.20005397816182)	(95, 39.17414928407156)	(100, 39.13221996675175)	(105, 39.088551404149996)	(110, 39.0192119762611)	(115, 38.974009285392306)	(120, 38.923579211516866)	(125, 38.862493159416466)	(130, 38.78565099672973)	(135, 38.725612350662814)	(140, 38.660685580078614)	(145, 38.62376405800929)	(150, 38.25106276684018)																														
DRR898360_1	(1, 38.57711708533851)	(2, 39.15216632849819)	(3, 39.20354995383222)	(4, 39.34505367467353)	(5, 39.35079478237414)	(6, 39.316069499179655)	(7, 39.296874374734145)	(8, 39.31586674630547)	(9, 39.304154507175646)	(10, 39.329132238448054)	(15, 39.53639737191961)	(20, 39.58255886576959)	(25, 39.40104785293895)	(30, 39.374303918851425)	(35, 39.42192416627514)	(40, 39.43596877487168)	(45, 39.43131150578098)	(50, 39.4259470915782)	(55, 39.40845117850108)	(60, 39.404353554770694)	(65, 39.39454742979608)	(70, 39.38520253796799)	(75, 39.37243622103027)	(80, 39.344463201390816)	(85, 39.32344685814561)	(90, 39.29164169061512)	(95, 39.25152982082752)	(100, 39.23695414198333)	(105, 39.19923048762955)	(110, 39.16248976972431)	(115, 39.12751549177206)	(120, 39.09046696891863)	(125, 39.04082500263075)	(130, 38.989725349889504)	(135, 38.93653912107815)	(140, 38.920091001655514)	(145, 38.875758552154764)	(150, 38.470649298294234)																														
DRR898360_2	(1, 37.3354051278099)	(2, 38.31007850745428)	(3, 38.43330957014316)	(4, 38.77095654003999)	(5, 38.87716051120995)	(6, 38.90602018932494)	(7, 38.959156856322615)	(8, 38.9893990481879)	(9, 39.02588982278391)	(10, 39.12460936724208)	(15, 39.19993858129308)	(20, 39.259924264094515)	(25, 38.93165716386078)	(30, 38.88620376367434)	(35, 38.94469595220486)	(40, 38.974992685778986)	(45, 39.00486494257559)	(50, 39.03055420601055)	(55, 39.04660820230231)	(60, 39.06338108203043)	(65, 39.06595284217141)	(70, 39.0676520535398)	(75, 39.05551166199554)	(80, 39.04136828547841)	(85, 39.02902763100756)	(90, 39.00670110106075)	(95, 38.99526062192369)	(100, 38.960998943254395)	(105, 38.936430749074056)	(110, 38.88070299519944)	(115, 38.84572148454232)	(120, 38.81076428051631)	(125, 38.76580602419103)	(130, 38.709760268440064)	(135, 38.65961450275895)	(140, 38.60448232063114)	(145, 38.586678958312646)	(150, 38.21821544864261)																														
DRR898362_1	(1, 31.582074376894425)	(2, 31.61213121320757)	(3, 35.507538885103635)	(4, 36.091859978170106)	(5, 36.20231274250783)	(6, 39.74994992923012)	(7, 39.87475647398284)	(8, 39.98092423454011)	(9, 40.01432024018637)	(10, 39.949474232958934)	(15, 39.9065188788364)	(20, 39.87735565004317)	(25, 39.79570790485691)	(30, 39.7032598227351)	(35, 39.692999387651255)	(40, 39.66277916251008)	(45, 39.60392296096972)	(50, 39.548119974356105)	(55, 39.521611598402714)	(60, 39.46373295078307)	(65, 39.40908470632655)	(70, 39.32840953194132)	(75, 38.86371100589063)	(80, 39.215968407021215)	(85, 39.12681483781383)	(90, 38.940750898638555)	(95, 38.745952125635945)	(100, 38.53547444569981)	(105, 38.31113755997711)	(110, 37.989746656278776)	(115, 37.64773320760539)	(120, 37.30228667695873)	(125, 36.975260152387634)	(130, 36.65297219131729)	(135, 36.336341508524484)	(140, 35.848146806539)	(145, 35.48184984902106)	(150, 31.94658886291917)																														
DRR898362_2	(1, 31.44603760530434)	(2, 31.291661515845842)	(3, 34.70706539290461)	(4, 35.53888702021901)	(5, 35.80678001347359)	(6, 39.09861450106993)	(7, 39.199672168222456)	(8, 39.213400662946576)	(9, 39.272784596027115)	(10, 39.26016791196744)	(15, 39.14701180520218)	(20, 39.109398547037294)	(25, 39.03304737892696)	(30, 38.966447792717545)	(35, 38.8508640442041)	(40, 38.799278214279894)	(45, 38.72531357718038)	(50, 38.6307154705742)	(55, 38.546724700845125)	(60, 38.41567267803393)	(65, 38.16473072467018)	(70, 38.11970833417184)	(75, 37.23402454953077)	(80, 37.60176852834102)	(85, 37.41791259033103)	(90, 36.91177214110279)	(95, 36.73011107565431)	(100, 36.305527429678115)	(105, 35.75464182389847)	(110, 35.36579893303741)	(115, 35.06284451804129)	(120, 34.764988313626056)	(125, 34.4351801541509)	(130, 34.12358635123519)	(135, 33.6018481624267)	(140, 33.1772648039382)	(145, 32.52641973392058)	(150, 28.485318483636682)																														
