Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
DRR898354_1	(2.0, 141.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 9.0)	(16.0, 34.0)	(17.0, 169.0)	(18.0, 551.0)	(19.0, 1190.0)	(20.0, 1411.0)	(21.0, 1848.0)	(22.0, 2365.0)	(23.0, 3027.0)	(24.0, 4312.0)	(25.0, 5855.0)	(26.0, 7734.0)	(27.0, 10802.0)	(28.0, 14809.0)	(29.0, 19972.0)	(30.0, 25654.0)	(31.0, 32876.0)	(32.0, 41897.0)	(33.0, 52294.0)	(34.0, 67672.0)	(35.0, 91894.0)	(36.0, 139554.0)	(37.0, 485664.0)
DRR898354_2	(2.0, 129.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 7.0)	(12.0, 99.0)	(13.0, 600.0)	(14.0, 1461.0)	(15.0, 2266.0)	(16.0, 3885.0)	(17.0, 6085.0)	(18.0, 8885.0)	(19.0, 11406.0)	(20.0, 13326.0)	(21.0, 15628.0)	(22.0, 17283.0)	(23.0, 18696.0)	(24.0, 20304.0)	(25.0, 22325.0)	(26.0, 24461.0)	(27.0, 27558.0)	(28.0, 31898.0)	(29.0, 36292.0)	(30.0, 40224.0)	(31.0, 41488.0)	(32.0, 42616.0)	(33.0, 46409.0)	(34.0, 59374.0)	(35.0, 83705.0)	(36.0, 134059.0)	(37.0, 301264.0)
DRR898355_1	(16.0, 2.0)	(17.0, 69.0)	(18.0, 669.0)	(19.0, 2327.0)	(20.0, 4286.0)	(21.0, 5002.0)	(22.0, 5259.0)	(23.0, 5530.0)	(24.0, 6277.0)	(25.0, 6953.0)	(26.0, 8047.0)	(27.0, 8873.0)	(28.0, 10669.0)	(29.0, 12832.0)	(30.0, 15507.0)	(31.0, 18297.0)	(32.0, 24989.0)	(33.0, 33595.0)	(34.0, 43167.0)	(35.0, 61751.0)	(36.0, 99127.0)	(37.0, 170315.0)	(38.0, 417802.0)	(39.0, 3090400.0)	(40.0, 1593633.0)											
DRR898355_2	(14.0, 11.0)	(15.0, 134.0)	(16.0, 1008.0)	(17.0, 3437.0)	(18.0, 6914.0)	(19.0, 9814.0)	(20.0, 11378.0)	(21.0, 10323.0)	(22.0, 9582.0)	(23.0, 9206.0)	(24.0, 9559.0)	(25.0, 10259.0)	(26.0, 11288.0)	(27.0, 12031.0)	(28.0, 13995.0)	(29.0, 16118.0)	(30.0, 18948.0)	(31.0, 21962.0)	(32.0, 27198.0)	(33.0, 34369.0)	(34.0, 47103.0)	(35.0, 67705.0)	(36.0, 112417.0)	(37.0, 200657.0)	(38.0, 514875.0)	(39.0, 3195134.0)	(40.0, 1269953.0)									
DRR898359_1	(17.0, 10.0)	(18.0, 96.0)	(19.0, 391.0)	(20.0, 825.0)	(21.0, 993.0)	(22.0, 1174.0)	(23.0, 1141.0)	(24.0, 1391.0)	(25.0, 1552.0)	(26.0, 1807.0)	(27.0, 2075.0)	(28.0, 2419.0)	(29.0, 3029.0)	(30.0, 3811.0)	(31.0, 4876.0)	(32.0, 7925.0)	(33.0, 12725.0)	(34.0, 14972.0)	(35.0, 19186.0)	(36.0, 28086.0)	(37.0, 46215.0)	(38.0, 109673.0)	(39.0, 889856.0)	(40.0, 587217.0)												
DRR898359_2	(14.0, 4.0)	(15.0, 31.0)	(16.0, 201.0)	(17.0, 627.0)	(18.0, 1233.0)	(19.0, 1677.0)	(20.0, 2009.0)	(21.0, 1874.0)	(22.0, 1773.0)	(23.0, 1806.0)	(24.0, 1987.0)	(25.0, 2060.0)	(26.0, 2279.0)	(27.0, 2432.0)	(28.0, 2993.0)	(29.0, 3425.0)	(30.0, 4337.0)	(31.0, 5189.0)	(32.0, 7087.0)	(33.0, 9307.0)	(34.0, 13297.0)	(35.0, 19289.0)	(36.0, 31703.0)	(37.0, 55903.0)	(38.0, 135805.0)	(39.0, 962540.0)	(40.0, 470577.0)									
DRR898360_1	(16.0, 1.0)	(17.0, 26.0)	(18.0, 202.0)	(19.0, 703.0)	(20.0, 1463.0)	(21.0, 1884.0)	(22.0, 2080.0)	(23.0, 2277.0)	(24.0, 2721.0)	(25.0, 3090.0)	(26.0, 3487.0)	(27.0, 4003.0)	(28.0, 4859.0)	(29.0, 6012.0)	(30.0, 7439.0)	(31.0, 9315.0)	(32.0, 12651.0)	(33.0, 17245.0)	(34.0, 22918.0)	(35.0, 33064.0)	(36.0, 55481.0)	(37.0, 99719.0)	(38.0, 257660.0)	(39.0, 1884096.0)	(40.0, 941169.0)											
DRR898360_2	(14.0, 6.0)	(15.0, 108.0)	(16.0, 931.0)	(17.0, 2622.0)	(18.0, 4487.0)	(19.0, 5360.0)	(20.0, 5771.0)	(21.0, 5345.0)	(22.0, 5078.0)	(23.0, 4972.0)	(24.0, 5391.0)	(25.0, 5640.0)	(26.0, 5971.0)	(27.0, 6676.0)	(28.0, 7738.0)	(29.0, 8718.0)	(30.0, 10317.0)	(31.0, 12107.0)	(32.0, 15343.0)	(33.0, 19847.0)	(34.0, 27465.0)	(35.0, 40479.0)	(36.0, 68947.0)	(37.0, 128213.0)	(38.0, 334097.0)	(39.0, 1926583.0)	(40.0, 715353.0)									
DRR898362_1	(15.0, 1.0)	(16.0, 1.0)	(17.0, 10.0)	(18.0, 54.0)	(19.0, 153.0)	(20.0, 276.0)	(21.0, 648.0)	(22.0, 1409.0)	(23.0, 2615.0)	(24.0, 4798.0)	(25.0, 8633.0)	(26.0, 11217.0)	(27.0, 14367.0)	(28.0, 18828.0)	(29.0, 23815.0)	(30.0, 28634.0)	(31.0, 34744.0)	(32.0, 40990.0)	(33.0, 48425.0)	(34.0, 57197.0)	(35.0, 68618.0)	(36.0, 84004.0)	(37.0, 109105.0)	(38.0, 158049.0)	(39.0, 316432.0)	(40.0, 1054023.0)										
DRR898362_2	(11.0, 7.0)	(12.0, 110.0)	(13.0, 316.0)	(14.0, 408.0)	(15.0, 529.0)	(16.0, 1022.0)	(17.0, 2015.0)	(18.0, 3526.0)	(19.0, 5438.0)	(20.0, 7360.0)	(21.0, 9568.0)	(22.0, 12268.0)	(23.0, 14986.0)	(24.0, 17626.0)	(25.0, 21393.0)	(26.0, 26038.0)	(27.0, 28467.0)	(28.0, 32412.0)	(29.0, 37646.0)	(30.0, 42643.0)	(31.0, 49610.0)	(32.0, 57005.0)	(33.0, 66473.0)	(34.0, 78175.0)	(35.0, 94060.0)	(36.0, 117118.0)	(37.0, 151949.0)	(38.0, 219773.0)	(39.0, 383041.0)	(40.0, 606064.0)						
