Sample	Unique Reads	Duplicate Reads
DRR898354_1	919260.0	92474.0
DRR898354_2	930606.0	81128.0
DRR898355_1	3798160.0	1847218.0
DRR898355_2	3835201.0	1810177.0
DRR898359_1	1450632.0	290813.0
DRR898359_2	1450005.0	291440.0
DRR898360_1	2518441.0	855124.0
DRR898360_2	2535523.0	838042.0
DRR898362_1	1677263.0	409783.0
DRR898362_2	1707745.0	379301.0
DRR898363_1	2396996.0	579900.0
DRR898363_2	2395336.0	581560.0
DRR898364_1	2589073.0	694757.0
DRR898364_2	2589220.0	694610.0
DRR898365_1	2407611.0	586442.0
DRR898365_2	2413595.0	580458.0
DRR898366_1	2469084.0	627137.0
DRR898366_2	2473630.0	622591.0
DRR898368_1	1897299.0	393348.0
DRR898368_2	1893903.0	396744.0
DRR898372_1	1908232.0	383133.0
DRR898372_2	1906803.0	384562.0
DRR898376_1	1442426.0	275100.0
DRR898376_2	1437283.0	280243.0
DRR898377_1	1509137.0	336594.0
DRR898377_2	1504634.0	341097.0
DRR898379_1	2816167.0	938022.0
DRR898379_2	2817929.0	936260.0
DRR898407_1	2054642.0	412561.0
DRR898407_2	2040526.0	426677.0
DRR898409_1	2283319.0	716038.0
DRR898409_2	2275244.0	724113.0
DRR898410_1	3018053.0	1254586.0
DRR898410_2	3039777.0	1232862.0
DRR898411_1	908195.0	170937.0
DRR898411_2	923345.0	155787.0
DRR898421_1	1784779.0	447765.0
DRR898421_2	1785704.0	446840.0
DRR898438_1	1940898.0	600369.0
DRR898438_2	1935214.0	606053.0
