Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR898354_1	(1.0, 83.7253553276663)	(2.0, 12.287077753994867)	(3.0, 1.9582311178418552)	(4.0, 0.6013718339389535)	(5.0, 0.3674849476427556)	(6.0, 0.21231402632204155)	(7.0, 0.17613875220123734)	(8.0, 0.13727117112790696)	(9.0, 0.09427761440551313)	('>10', 0.3402161679903477)	('>50', 0.0)	('>100', 0.013941658233152516)	('>500', 0.08631962863505069)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898354_2	(1.0, 85.6730221390493)	(2.0, 10.888659095503387)	(3.0, 1.7079841715683663)	(4.0, 0.5173453745372748)	(5.0, 0.30654221221418904)	(6.0, 0.2164435079685721)	(7.0, 0.1485470802075139)	(8.0, 0.1402405711657754)	(9.0, 0.0958548694808044)	('>10', 0.22921794388339112)	('>50', 0.0)	('>100', 0.01275643044203281)	('>500', 0.06338660397940335)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898355_1	(1.0, 47.597810021698876)	(2.0, 25.297631193521795)	(3.0, 12.696612123182877)	(4.0, 6.287668137834686)	(5.0, 3.1350859023056206)	(6.0, 1.5426433739514875)	(7.0, 0.8873868438329932)	(8.0, 0.5374692835756639)	(9.0, 0.3515050404355455)	('>10', 1.5822726850202515)	('>50', 0.007228818760538745)	('>100', 0.0089706763090022)	('>500', 0.02407326781138322)	('>1k', 0.04364263175936223)	('>5k', 0.0)	('>10k+', 0.0)
DRR898355_2	(1.0, 48.815620599160034)	(2.0, 24.909780450585167)	(3.0, 12.259907799223889)	(4.0, 5.837219566437186)	(5.0, 2.847731924860472)	(6.0, 1.4065915314443331)	(7.0, 0.7773871106741759)	(8.0, 0.5097123664510529)	(9.0, 0.3279396470323836)	('>10', 1.4763375082154764)	('>50', 0.03737332478884984)	('>100', 0.01132942191933764)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.7830687492076518)
DRR898359_1	(1.0, 70.42656569897923)	(2.0, 20.43367182126011)	(3.0, 5.942928699118804)	(4.0, 1.8532578526595807)	(5.0, 0.6230473495229265)	(6.0, 0.2670806747472431)	(7.0, 0.1383290439612733)	(8.0, 0.08483411077945323)	(9.0, 0.04435036089032974)	('>10', 0.09756406876111855)	('>50', 0.004181937287928133)	('>100', 0.04831625846633776)	('>500', 0.03587212356567784)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898359_2	(1.0, 70.62303797914208)	(2.0, 20.17107033493054)	(3.0, 5.718440490913857)	(4.0, 1.7469009968856894)	(5.0, 0.6799604177495059)	(6.0, 0.22234832471875401)	(7.0, 0.13784302189360156)	(8.0, 0.06861286547020257)	(9.0, 0.03788528309522221)	('>10', 0.08808939472556937)	('>50', 0.00608341837704779)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.4997274720979049)	('>10k+', 0.0)
DRR898360_1	(1.0, 57.71477198771048)	(2.0, 24.204390572043017)	(3.0, 9.478617825227246)	(4.0, 3.9368490057815597)	(5.0, 1.7366199414459211)	(6.0, 0.8689482038131588)	(7.0, 0.4248351841773197)	(8.0, 0.3255692977966398)	(9.0, 0.2194969103306818)	('>10', 0.9873936104189782)	('>50', 0.0)	('>100', 0.02150797916357421)	('>500', 0.0)	('>1k', 0.08099948209140066)	('>5k', 0.0)	('>10k+', 0.0)
DRR898360_2	(1.0, 59.0399527651862)	(2.0, 23.08897027665815)	(3.0, 9.083883775886795)	(4.0, 3.6073054868288548)	(5.0, 1.6112994965023064)	(6.0, 0.7628100315812683)	(7.0, 0.4294242974538258)	(8.0, 0.27711033614698805)	(9.0, 0.22467852671577307)	('>10', 0.9915738745272424)	('>50', 0.004287916621227656)	('>100', 0.025014955975363334)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.8536882599159589)
DRR898362_1	(1.0, 66.33028673449077)	(2.0, 21.17829935338492)	(3.0, 7.090507675297343)	(4.0, 2.6850868268711254)	(5.0, 1.1040221750766825)	(6.0, 0.5740011397474765)	(7.0, 0.27995050362585894)	(8.0, 0.15996482344137808)	(9.0, 0.1133198330432399)	('>10', 0.28890314487180974)	('>50', 0.006207316951323919)	('>100', 0.011066151462714259)	('>500', 0.036411208038608214)	('>1k', 0.14197311369675805)	('>5k', 0.0)	('>10k+', 0.0)
DRR898362_2	(1.0, 68.66314300342434)	(2.0, 20.054057649817352)	(3.0, 6.5784637331479905)	(4.0, 2.31758470887291)	(5.0, 1.0308368285210832)	(6.0, 0.4557765698262533)	(7.0, 0.23307320298190173)	(8.0, 0.16123333697619244)	(9.0, 0.09045508093804751)	('>10', 0.23629304379878557)	('>50', 0.002821161901780745)	('>100', 0.032814134047987734)	('>500', 0.0)	('>1k', 0.14344754574538293)	('>5k', 0.0)	('>10k+', 0.0)
