Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
DRR898354_1	(30, 337.0)	(40, 3084.0)	(50, 13280.0)	(60, 27814.0)	(70, 41099.0)	(80, 49623.0)	(90, 53580.0)	(100, 55060.0)	(110, 54071.0)	(120, 51898.0)	(130, 49632.0)	(140, 47050.0)	(150, 46138.0)	(160, 46137.0)	(170, 48159.0)	(180, 49805.0)	(190, 47844.0)	(200, 43067.0)	(210, 38058.0)	(220, 33073.0)	(230, 27671.0)	(240, 23512.0)	(250, 19796.0)	(260, 16611.0)	(270, 13418.0)	(280, 10778.0)	(290, 13355.0)	(300, 87784.0)
DRR898354_2	(30, 325.0)	(40, 3069.0)	(50, 13189.0)	(60, 27620.0)	(70, 40783.0)	(80, 49090.0)	(90, 52916.0)	(100, 54255.0)	(110, 53017.0)	(120, 50594.0)	(130, 47948.0)	(140, 44999.0)	(150, 43565.0)	(160, 42577.0)	(170, 42886.0)	(180, 42373.0)	(190, 38534.0)	(200, 32294.0)	(210, 25005.0)	(220, 17150.0)	(230, 10010.0)	(240, 4578.0)	(250, 2161.0)	(260, 4602.0)	(270, 4064.0)	(280, 14667.0)	(290, 32185.0)	(300, 217278.0)
DRR898355_1	(151, 5645378.0)																											
DRR898355_2	(151, 5645378.0)																											
DRR898359_1	(151, 1741445.0)																											
DRR898359_2	(151, 1741445.0)																											
DRR898360_1	(151, 3373565.0)																											
DRR898360_2	(151, 3373565.0)																											
DRR898362_1	(151, 2087046.0)																											
DRR898362_2	(151, 2087046.0)																											
DRR898363_1	(151, 2976896.0)																											
DRR898363_2	(151, 2976896.0)																											
DRR898364_1	(151, 3283830.0)																											
DRR898364_2	(151, 3283830.0)																											
DRR898365_1	(151, 2994053.0)																											
DRR898365_2	(151, 2994053.0)																											
DRR898366_1	(151, 3096221.0)																											
DRR898366_2	(151, 3096221.0)																											
DRR898368_1	(151, 2290647.0)																											
DRR898368_2	(151, 2290647.0)																											
DRR898372_1	(151, 2291365.0)																											
DRR898372_2	(151, 2291365.0)																											
DRR898376_1	(151, 1717526.0)																											
DRR898376_2	(151, 1717526.0)																											
DRR898377_1	(151, 1845731.0)																											
DRR898377_2	(151, 1845731.0)																											
DRR898379_1	(151, 3754189.0)																											
DRR898379_2	(151, 3754189.0)																											
DRR898407_1	(151, 2467203.0)																											
DRR898407_2	(151, 2467203.0)																											
DRR898409_1	(151, 2999357.0)																											
DRR898409_2	(151, 2999357.0)																											
DRR898410_1	(151, 4272639.0)																											
DRR898410_2	(151, 4272639.0)																											
DRR898411_1	(151, 1079132.0)																											
DRR898411_2	(151, 1079132.0)																											
DRR898421_1	(151, 2232544.0)																											
DRR898421_2	(151, 2232544.0)																											
DRR898438_1	(151, 2541267.0)																											
DRR898438_2	(151, 2541267.0)																											
