.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
DRR898355_1_paired	1	1	0.5	1	0.5	0.5	1	0.5	0.5	1	1
DRR898355_2_paired	1	1	1	1	1	0.5	1	0.5	0.5	0.5	1
DRR898359_1_paired	1	1	0.5	1	0.5	0.5	1	0.5	1	1	1
DRR898359_2_paired	1	1	0.5	1	1	0.5	1	0.5	1	0.5	1
DRR898360_1_paired	1	1	0.5	1	0.5	0.5	1	0.5	1	1	1
DRR898360_2_paired	1	1	1	1	1	0.5	1	0.5	1	0.5	1
DRR898362_1_paired	1	1	1	1	0.5	0.5	1	0.5	1	1	1
DRR898362_2_paired	1	1	0.5	1	0.5	0.5	1	0.5	1	1	1
DRR898363_1_paired	1	1	1	1	0.5	0.5	1	0.5	1	1	1
DRR898363_2_paired	1	1	0.5	1	0.5	0.5	1	0.5	1	0.5	1
DRR898364_1_paired	1	1	1	1	0.5	0.5	1	0.5	1	1	1
DRR898364_2_paired	1	1	0.5	1	0.5	0.5	1	0.5	1	0.5	1
DRR898365_1_paired	1	1	1	1	0.5	0.5	1	0.5	1	1	1
DRR898365_2_paired	1	1	0.5	1	0.5	0.5	1	0.5	1	1	1
DRR898366_1_paired	1	1	1	1	0.5	0.5	1	0.5	1	1	1
DRR898366_2_paired	1	1	0.5	1	0.5	1	1	0.5	1	1	1
DRR898368_1_paired	1	1	1	1	0.5	1	1	0.5	1	1	1
DRR898368_2_paired	1	1	0.5	1	0.5	1	1	0.5	1	1	1
DRR898372_1_paired	1	1	1	1	0.5	0.5	1	0.5	1	1	1
DRR898372_2_paired	1	1	0.5	1	0.5	0.5	1	0.5	1	1	1
DRR898376_1_paired	1	1	0.5	1	1	0.5	1	0.5	1	1	1
DRR898376_2_paired	1	1	1	1	1	0.5	1	0.5	1	0.5	1
DRR898377_1_paired	1	1	0.5	1	0.5	1	1	0.5	1	1	1
DRR898377_2_paired	1	1	1	1	0.5	1	1	0.5	1	0.5	1
DRR898379_1_paired	1	1	0.25	1	0.5	1	1	0.5	1	1	1
DRR898379_2_paired	1	1	0.25	1	1	0.5	1	0.5	1	0.5	1
DRR898407_1_paired	1	1	0.5	1	1	1	1	0.5	1	1	1
DRR898407_2_paired	1	1	1	1	1	0.5	1	0.5	1	0.5	1
DRR898409_1_paired	1	1	0.5	1	0.5	0.5	1	0.5	1	1	1
DRR898409_2_paired	1	1	1	1	0.5	0.5	1	0.5	1	0.5	1
DRR898410_1_paired	1	1	0.5	1	0.5	0.5	1	0.5	1	1	1
DRR898410_2_paired	1	1	1	1	0.5	0.5	1	0.5	1	0.5	1
DRR898411_1_paired	1	1	1	1	0.5	0.5	1	0.5	1	1	1
DRR898411_2_paired	1	1	0.5	1	0.5	1	1	0.5	1	1	1
DRR898421_1_paired	1	1	1	1	0.5	0.5	1	0.5	1	1	1
DRR898421_2_paired	1	1	1	1	0.5	0.5	1	0.5	1	0.5	1
DRR898438_1_paired	1	1	0.5	1	1	0.5	1	0.5	1	1	1
DRR898438_2_paired	1	1	1	1	1	0.5	1	0.5	1	0.5	1
