Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
DRR898355_2_paired - polyg	(1, 0.5570670589893263)	(2, 0.5613577140682322)	(3, 0.5622194355903556)	(4, 0.5629016317953699)	(5, 0.5639069735711805)	(6, 0.5646430273713274)	(7, 0.5654508912983182)	(8, 0.5663664704155742)	(9, 0.567335907127963)	(10, 0.5695368875157196)	(15, 0.5708761463813531)	(20, 0.5711777489140962)	(25, 0.5713752267629162)	(30, 0.5714793514468395)	(35, 0.5715260280292878)	(40, 0.5715727046117361)	(45, 0.5715978381561314)	(50, 0.571630152713211)	(55, 0.5716660577766328)	(60, 0.57172709638445)	(65, 0.571770182460556)	(70, 0.5718312210683731)	(75, 0.5718707166381372)	(80, 0.5719102122079012)	(85, 0.571967660309376)	(90, 0.5720394704362196)	(95, 0.5720574229679305)	(100, 0.5720933280313523)	(105, 0.5721866811962489)	(110, 0.5722297672723552)	(115, 0.572244129297724)	(120, 0.5722692628421191)	(125, 0.5723267109435941)	(130, 0.572366206513358)	(135, 0.5724272451211749)	(140, 0.5724523786655704)
DRR898359_2_paired - polyg	(1, 0.32832673652606376)	(2, 0.330732501219422)	(3, 0.3312136541580936)	(4, 0.33163466297943134)	(5, 0.3318752394487671)	(6, 0.3322361041527709)	(7, 0.33265711297410855)	(8, 0.33307812179544627)	(9, 0.3338599953207877)	(10, 0.3347741859042638)	(15, 0.3354598288418709)	(20, 0.3355440306061384)	(25, 0.33571243413467344)	(30, 0.335916924133609)	(35, 0.3359770682509429)	(40, 0.3360492411917437)	(45, 0.33608532766214405)	(50, 0.33608532766214405)	(55, 0.33616952942641154)	(60, 0.3362056158968119)	(65, 0.3363379329549467)	(70, 0.33650633648348177)	(75, 0.3365664806008157)	(80, 0.3365664806008157)	(85, 0.33663865354161643)	(90, 0.33674691295281756)	(95, 0.33674691295281756)	(100, 0.33674691295281756)	(105, 0.33677097059975114)	(110, 0.3368431435405519)	(115, 0.33697546059868655)	(120, 0.3370716911864209)	(125, 0.33710777765682126)	(130, 0.3372521235384228)	(135, 0.33756487294855936)	(140, 0.33776936294749477)
DRR898360_2_paired - polyg	(1, 0.5744600231909749)	(2, 0.5874606603122675)	(3, 0.5882412990308671)	(4, 0.5887517166545667)	(5, 0.5897125027697663)	(6, 0.5905832151866657)	(7, 0.5915740258679651)	(8, 0.5925948611153646)	(9, 0.5932854261356642)	(10, 0.5957234209029829)	(15, 0.5973987916913618)	(20, 0.5976810226127017)	(25, 0.5978371503564217)	(30, 0.5979632535340416)	(35, 0.5979992830133616)	(40, 0.5980293075794615)	(45, 0.5980473223191215)	(50, 0.5980653370587815)	(55, 0.5980893567116615)	(60, 0.5981434009306414)	(65, 0.5981794304099615)	(70, 0.5981974451496215)	(75, 0.5982514893686014)	(80, 0.5983295532404613)	(85, 0.5983956072858814)	(90, 0.5984196269387613)	(95, 0.5984316367652013)	(100, 0.5984796760709613)	(105, 0.5985577399428212)	(110, 0.5985997743353612)	(115, 0.5986297989014612)	(120, 0.5986838431204411)	(125, 0.5987378873394211)	(130, 0.5987799217319612)	(135, 0.598888010169921)	(140, 0.598900019996361)
DRR898363_2_paired - polyg	(1, 0.1301069941824456)	(2, 0.13250230120567588)	(3, 0.13257834269847685)	(4, 0.13261636344487734)	(5, 0.13261636344487734)	(6, 0.13261636344487734)	(7, 0.1326543841912778)	(8, 0.13273042568407878)	(9, 0.13276844643047925)	(10, 0.1328140713261598)	(15, 0.1328596962218404)	(20, 0.1328977169682409)	(25, 0.13292052941608118)	(30, 0.13294334186392148)	(35, 0.13295855016248165)	(40, 0.13295855016248165)	(45, 0.13295855016248165)	(50, 0.13295855016248165)	(55, 0.13295855016248165)	(60, 0.13298896675960206)	(65, 0.13302698750600253)	(70, 0.1330497999538428)	(75, 0.1331030289988035)	(80, 0.13317907049160443)	(85, 0.133224695387285)	(90, 0.13323229953656512)	(95, 0.1332627161336855)	(100, 0.1332627161336855)	(105, 0.13327792443224568)	(110, 0.1333083410293661)	(115, 0.13333875762648648)	(120, 0.13336157007432675)	(125, 0.13337677837288694)	(130, 0.13337677837288694)	(135, 0.13340719497000736)	(140, 0.13341479911928744)
DRR898364_2_paired - polyg	(1, 0.13145677019267593)	(2, 0.1331130781740185)	(3, 0.13314688037771935)	(4, 0.13314688037771935)	(5, 0.13321448478512107)	(6, 0.13324828698882196)	(7, 0.13328208919252282)	(8, 0.13328208919252282)	(9, 0.13328208919252282)	(10, 0.13334969359992455)	(15, 0.13345110021102716)	(20, 0.13347814197398783)	(25, 0.13348490241472802)	(30, 0.13349166285546818)	(35, 0.13352546505916907)	(40, 0.13355250682212977)	(45, 0.13357954858509044)	(50, 0.1336201112295315)	(55, 0.1336201112295315)	(60, 0.1336201112295315)	(65, 0.13362687167027168)	(70, 0.13365391343323238)	(75, 0.13365391343323238)	(80, 0.13368095519619308)	(85, 0.13369447607767343)	(90, 0.13376208048507515)	(95, 0.13380940357025636)	(100, 0.1338229244517367)	(105, 0.1338229244517367)	(110, 0.13388376841839827)	(115, 0.1339243310628393)	(120, 0.1339243310628393)	(125, 0.1339243310628393)	(130, 0.1339446123850598)	(135, 0.13395813326654019)	(140, 0.13395813326654019)
DRR898365_2_paired - polyg	(1, 0.09753198708948674)	(2, 0.09987577902729611)	(3, 0.09991358212306722)	(4, 0.09998918831460946)	(5, 0.09998918831460946)	(6, 0.09998918831460946)	(7, 0.10002699141038057)	(8, 0.10002699141038057)	(9, 0.10002699141038057)	(10, 0.10006479450615169)	(15, 0.10010259760192282)	(20, 0.10014040069769395)	(25, 0.1001630825551566)	(30, 0.10021600688923618)	(35, 0.10021600688923618)	(40, 0.10023112812754462)	(45, 0.10028405246162417)	(50, 0.10032941617654953)	(55, 0.10036721927232065)	(60, 0.10036721927232065)	(65, 0.10037477989147488)	(70, 0.10040502236809176)	(75, 0.10040502236809176)	(80, 0.10040502236809176)	(85, 0.10040502236809176)	(90, 0.10044282546386289)	(95, 0.100480628559634)	(100, 0.100480628559634)	(105, 0.100480628559634)	(110, 0.100480628559634)	(115, 0.10051843165540512)	(120, 0.10051843165540512)	(125, 0.10051843165540512)	(130, 0.10053355289371357)	(135, 0.10055623475117623)	(140, 0.10055623475117624)
DRR898366_2_paired - polyg	(1, 0.10306259039987063)	(2, 0.10450000449191904)	(3, 0.10453593984422024)	(4, 0.10453593984422024)	(5, 0.10453593984422024)	(6, 0.10453593984422024)	(7, 0.10453593984422024)	(8, 0.10453593984422024)	(9, 0.10453593984422024)	(10, 0.10462218468974316)	(15, 0.10467249418296484)	(20, 0.10467968125342508)	(25, 0.10467968125342508)	(30, 0.1047156166057263)	(35, 0.1047156166057263)	(40, 0.10474436488756726)	(45, 0.1047515519580275)	(50, 0.1047515519580275)	(55, 0.1047515519580275)	(60, 0.1047515519580275)	(65, 0.10478748731032872)	(70, 0.10478748731032872)	(75, 0.10478748731032872)	(80, 0.10478748731032872)	(85, 0.10478748731032872)	(90, 0.10478748731032872)	(95, 0.10478748731032872)	(100, 0.10485935801493114)	(105, 0.10485935801493114)	(110, 0.10485935801493114)	(115, 0.10485935801493114)	(120, 0.10485935801493114)	(125, 0.10485935801493114)	(130, 0.10485935801493114)	(135, 0.10485935801493114)	(140, 0.10485935801493114)
DRR898372_2_paired - polyg	(1, 0.09913469086931764)	(2, 0.10099683533448525)	(3, 0.10104583913620019)	(4, 0.10104583913620019)	(5, 0.10104583913620019)	(6, 0.10104583913620019)	(7, 0.10104583913620019)	(8, 0.10109484293791512)	(9, 0.10109484293791512)	(10, 0.10115364749997305)	(15, 0.101192850541345)	(20, 0.101192850541345)	(25, 0.10120265130168797)	(30, 0.10124185434305995)	(35, 0.10127125662408891)	(40, 0.10129085814477487)	(45, 0.10129085814477487)	(50, 0.10129085814477487)	(55, 0.10133006118614682)	(60, 0.1013496627068328)	(65, 0.10138886574820474)	(70, 0.10138886574820474)	(75, 0.10138886574820474)	(80, 0.10138886574820474)	(85, 0.10138886574820474)	(90, 0.10143786954991967)	(95, 0.10143786954991967)	(100, 0.10143786954991967)	(105, 0.10145747107060565)	(110, 0.10148687335163462)	(115, 0.10148687335163462)	(120, 0.10148687335163462)	(125, 0.10148687335163462)	(130, 0.10148687335163462)	(135, 0.10148687335163462)	(140, 0.10148687335163462)
DRR898376_2_paired - polyg	(1, 0.18302509159123242)	(2, 0.18688073625502022)	(3, 0.18703810950660338)	(4, 0.18719548275818657)	(5, 0.1875889158871445)	(6, 0.1882970955192688)	(7, 0.1882970955192688)	(8, 0.18853315539664353)	(9, 0.1887692152740183)	(10, 0.18961903083256745)	(15, 0.19016983721310857)	(20, 0.19040589709048333)	(25, 0.19064195696785807)	(30, 0.1906734316181747)	(35, 0.1907521182439663)	(40, 0.1908150675445996)	(45, 0.1909252288207078)	(50, 0.19105112742197433)	(55, 0.19105112742197433)	(60, 0.19111407672260763)	(65, 0.19112981404776594)	(70, 0.19112981404776594)	(75, 0.1912714499741908)	(80, 0.19133439927482404)	(85, 0.19142882322577398)	(90, 0.19144456055093229)	(95, 0.19149177252640723)	(100, 0.19160193380251545)	(105, 0.19160193380251545)	(110, 0.19168062042830705)	(115, 0.19182225635473188)	(120, 0.19190094298052346)	(125, 0.19193241763084012)	(130, 0.19207405355726498)	(135, 0.19213700285789825)	(140, 0.19223142680884817)
DRR898377_2_paired - polyg	(1, 0.2116379915108776)	(2, 0.2161618519242142)	(3, 0.2165552310905913)	(4, 0.216817483868176)	(5, 0.21707973664576075)	(6, 0.21734198942334548)	(7, 0.2177353685897226)	(8, 0.2179976213673073)	(9, 0.21825987414489204)	(10, 0.22004319303246822)	(15, 0.2211577673372033)	(20, 0.22131511900375417)	(25, 0.22148558330918422)	(30, 0.22153803386470114)	(35, 0.22153803386470114)	(40, 0.22153803386470114)	(45, 0.22156425914245964)	(50, 0.2216167096979766)	(55, 0.22170849817013125)	(60, 0.22174783608676893)	(65, 0.2218002866422859)	(70, 0.22182651192004438)	(75, 0.22186584983668206)	(80, 0.22198386358659522)	(85, 0.22199697622547446)	(90, 0.22199697622547446)	(95, 0.22199697622547446)	(100, 0.22199697622547446)	(105, 0.22206253941987067)	(110, 0.222193665808663)	(115, 0.22225922900305917)	(120, 0.22236413011409306)	(125, 0.22239035539185154)	(130, 0.22249525650288543)	(135, 0.2225870449750401)	(140, 0.22265260816943627)
