Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
DRR898355_1_paired	(1, 0.0)	(2, 0.01644451904718733)	(3, 0.008329974713859085)	(4, 0.000718101268436128)	(5, 0.0)	(6, 0.001059199370943289)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.59050634218064e-06)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.015499372219671965)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.03246606812389929)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
DRR898355_2_paired	(1, 0.1228491744977106)	(2, 0.010789471558252823)	(3, 0.0)	(4, 3.5905063421806404e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.617215221233536e-05)	(15, 0.0)	(20, 3.59050634218064e-06)	(25, 0.0)	(30, 2.872405073744512e-05)	(35, 7.183033387816642e-06)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 1.444129239169175e-05)	(75, 3.6122040336109806e-06)	(80, 0.01693898546355321)	(85, 0.0)	(90, 0.016872139712892902)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.017388877714294)	(115, 0.0)	(120, 3.990527503477382e-05)	(125, 0.0)	(130, 0.01685109108454167)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
DRR898359_1_paired	(1, 0.0)	(2, 0.016900496970841533)	(3, 0.008720897013423564)	(4, 0.0009021617600093344)	(5, 0.0)	(6, 0.00096230587734329)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 1.2028823466791126e-05)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.014911065371531838)	(60, 0.0)	(65, 1.2051334829948434e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.03392606966120775)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
DRR898359_2_paired	(1, 0.11481511999052128)	(2, 0.010404932298774323)	(3, 0.0)	(4, 6.014411733395563e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.420176426753788e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.608647040037338e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.01680301144754984)	(85, 0.0)	(90, 0.017321651956156037)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.018034077386283643)	(115, 0.0)	(120, 3.633603859177987e-05)	(125, 0.0)	(130, 0.017091344143305466)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
DRR898360_1_paired	(1, 0.0)	(2, 0.01657356048719062)	(3, 0.007025748467396023)	(4, 0.0006004913219996601)	(5, 0.0)	(6, 0.0007806387185995582)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 6.005354975031235e-06)	(40, 0.0)	(45, 6.008897133629881e-06)	(50, 0.0)	(55, 0.015121381705881851)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.034044655088591134)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
DRR898360_2_paired	(1, 0.11409335117993542)	(2, 0.009037394396094885)	(3, 0.0)	(4, 9.007369829994902e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.4044218979969404e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 2.4019652879986407e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 6.0346224393211165e-06)	(75, 0.0)	(80, 0.017068994009302542)	(85, 0.0)	(90, 0.016684209266409827)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.017613826096618105)	(115, 0.0)	(120, 3.63623052828854e-05)	(125, 0.0)	(130, 0.01728348506886459)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
DRR898362_1_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.3583973982159903e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00017687980486619928)	(35, 0.00030664991571845005)	(40, 0.00022426039511848857)	(45, 0.0)	(50, 0.0009104291431915861)	(55, 0.0008048384044268005)	(60, 0.0002132845717405763)	(65, 0.0005575940032307234)	(70, 0.00013067011794166053)	(75, 0.00011896892959847033)	(80, 0.00032176757655386925)	(85, 0.00016716278192301676)	(90, 0.0004190028570009093)	(95, 0.0011413936873479994)	(100, 0.0005189342201396198)	(105, 0.0009705215012366263)	(110, 0.0006103906805550892)	(115, 0.00022144486871640957)	(120, 0.0003970730750952045)	(125, 0.0001377935346772462)	(130, 7.592417756083709e-05)	(135, 2.557364891216091e-05)	(140, 0.0)	(145, 0.00023574134825977703)	(150, 0.0)
DRR898362_2_paired	(1, 0.002004637788483592)	(2, 0.0)	(3, 5.895993495539976e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004127195446877983)	(15, 0.0005306394145985978)	(20, 0.0006013913365450776)	(25, 0.00043630351866995825)	(30, 0.00011791986991079952)	(35, 0.0002478272629815461)	(40, 0.00021310195827676758)	(45, 0.00014254872850097893)	(50, 9.537316180152274e-05)	(55, 0.00044277752667106336)	(60, 0.00015619955430259483)	(65, 6.0345215668369725e-05)	(70, 0.00010912642478188358)	(75, 7.321045284203588e-05)	(80, 0.0001721775578605758)	(85, 0.0)	(90, 1.2541016963606596e-05)	(95, 0.00015229321215193227)	(100, 0.0)	(105, 0.0)	(110, 3.9847183395200515e-05)	(115, 1.3511470360090144e-05)	(120, 0.00017875728212478058)	(125, 4.196347079866976e-05)	(130, 4.271597875193308e-05)	(135, 1.4516006582718665e-05)	(140, 1.4813304954991254e-05)	(145, 3.0325976958929223e-05)	(150, 0.0)
DRR898363_1_paired	(1, 0.0002281244784028853)	(2, 0.1559230809883721)	(3, 0.0)	(4, 0.02954211995317365)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.012227472042394653)	(15, 0.005984465483435692)	(20, 0.0)	(25, 0.0)	(30, 0.00933029116667801)	(35, 0.0016580436985783036)	(40, 0.015626655527314754)	(45, 7.617025697711936e-05)	(50, 7.622025580737373e-06)	(55, 0.0)	(60, 0.0003357849706310254)	(65, 0.0004734318448279786)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 7.65877228501692e-06)	(95, 0.0007127075214630337)	(100, 0.00010735660359287277)	(105, 0.0)	(110, 6.142783945004884e-05)	(115, 0.0)	(120, 0.0)	(125, 7.695559954337626e-06)	(130, 0.0)	(135, 0.0022585049283198326)	(140, 0.0)	(145, 0.0)	(150, 3.943660860940602e-05)
DRR898363_2_paired	(1, 0.035587418630850104)	(2, 0.02836347681475874)	(3, 0.0011026016456139457)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.012706533447040712)	(15, 0.004227906999733475)	(20, 0.0007071858830489446)	(25, 7.604149280096178e-06)	(30, 0.008630709432909162)	(35, 0.0022665125133927693)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 7.630868051684481e-06)	(65, 0.002183539805090824)	(70, 0.0020089235927681194)	(75, 1.5284687624164207e-05)	(80, 0.0)	(85, 0.00016828648785717373)	(90, 0.0)	(95, 0.000367520329616733)	(100, 0.015283064181591914)	(105, 7.664765242803667e-05)	(110, 1.533802789465781e-05)	(115, 7.67331505703153e-06)	(120, 0.0)	(125, 0.0012215002481412453)	(130, 0.015604513071162653)	(135, 9.230437645047674e-05)	(140, 0.0024940216607320757)	(145, 5.392619276071678e-05)	(150, 9.809726618614702e-05)
