Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
DRR898355_1_paired	(1, 38.61827334345258)	(2, 39.19553556441413)	(3, 39.25067137980466)	(4, 39.33323579124437)	(5, 39.34929828041675)	(6, 39.298552577130806)	(7, 39.287473351710744)	(8, 39.29621982516029)	(9, 39.29066962045655)	(10, 39.30650791841292)	(15, 39.513551594229696)	(20, 39.55933313525706)	(25, 39.39703564205884)	(30, 39.372199607019084)	(35, 39.41996133237889)	(40, 39.4412835703636)	(45, 39.45020902586418)	(50, 39.45896758691018)	(55, 39.452648845628616)	(60, 39.45340167797579)	(65, 39.44731633319321)	(70, 39.43995842533282)	(75, 39.42912539633776)	(80, 39.40656414714361)	(85, 39.392322837272275)	(90, 39.36298258989554)	(95, 39.32854813078586)	(100, 39.316962808690725)	(105, 39.28534420054577)	(110, 39.2566061401164)	(115, 39.22961456043915)	(120, 39.19885216308147)	(125, 39.1592840034013)	(130, 39.11862278347636)	(135, 39.074119965911954)	(140, 39.0652692242008)	(145, 39.03119727260486)	(150, 39.08664979462183)
DRR898355_2_paired	(1, 37.452722097502)	(2, 38.610513182095225)	(3, 38.74577078746088)	(4, 38.953563442900624)	(5, 39.05903672100599)	(6, 39.080443319818066)	(7, 39.11322536082345)	(8, 39.13146513304172)	(9, 39.164979637340906)	(10, 39.246739631739715)	(15, 39.315856160725424)	(20, 39.36648653694765)	(25, 39.124342286560115)	(30, 39.09378162001851)	(35, 39.15170831992499)	(40, 39.1961800603717)	(45, 39.231857717833066)	(50, 39.26428889530694)	(55, 39.283211924029374)	(60, 39.300933115959)	(65, 39.308279082630655)	(70, 39.31306563112398)	(75, 39.30295670039763)	(80, 39.291532796468154)	(85, 39.284541434963955)	(90, 39.267066480463754)	(95, 39.261607043742124)	(100, 39.23293105219945)	(105, 39.2125496581033)	(110, 39.164023458151675)	(115, 39.13831762776983)	(120, 39.109740853246954)	(125, 39.072698711298244)	(130, 39.02580895306967)	(135, 38.988075472263645)	(140, 38.94413436211866)	(145, 38.93871949326031)	(150, 39.03380755169249)
DRR898359_1_paired	(1, 38.805535423982946)	(2, 39.311079207998205)	(3, 39.37187047603467)	(4, 39.44073789614675)	(5, 39.454136802606406)	(6, 39.4117953440033)	(7, 39.4067985707352)	(8, 39.41261811552843)	(9, 39.407400011908535)	(10, 39.41877302391991)	(15, 39.603001191454965)	(20, 39.64172967264158)	(25, 39.521188592104394)	(30, 39.50326299879772)	(35, 39.545929059240315)	(40, 39.55931255890037)	(45, 39.5652836729828)	(50, 39.57231576050795)	(55, 39.56483160297728)	(60, 39.564987495399585)	(65, 39.56195424514289)	(70, 39.551687687095566)	(75, 39.54088095106683)	(80, 39.522650913028265)	(85, 39.507959010183484)	(90, 39.4842962940398)	(95, 39.4522397809907)	(100, 39.44340487942075)	(105, 39.415637324325516)	(110, 39.388587323599616)	(115, 39.36242745390136)	(120, 39.337844101974554)	(125, 39.30234871902947)	(130, 39.26910091127836)	(135, 39.22746755056686)	(140, 39.21750963656736)	(145, 39.18320917076731)	(150, 39.20655022060198)
DRR898359_2_paired	(1, 38.07837740794492)	(2, 39.00740193652029)	(3, 39.0930435509568)	(4, 39.228465248428286)	(5, 39.30635789478749)	(6, 39.322351418468934)	(7, 39.34120780213548)	(8, 39.35771375369661)	(9, 39.3899173198819)	(10, 39.441785847247175)	(15, 39.49380497548225)	(20, 39.53301845883105)	(25, 39.368770167074345)	(30, 39.34693616844684)	(35, 39.38966138180423)	(40, 39.413403315877076)	(45, 39.43702013536953)	(50, 39.459377999844406)	(55, 39.46601247076309)	(60, 39.47534061540022)	(65, 39.47812127810165)	(70, 39.4771676897277)	(75, 39.46508470381015)	(80, 39.451741989981244)	(85, 39.445305662717104)	(90, 39.42790046775956)	(95, 39.42121223776814)	(100, 39.3982648819656)	(105, 39.37753086156272)	(110, 39.333902911580644)	(115, 39.31377943771544)	(120, 39.291310949933596)	(125, 39.26074501335918)	(130, 39.21374075863468)	(135, 39.184045275581255)	(140, 39.147242275763894)	(145, 39.13792764395955)	(150, 39.1874411796793)
DRR898360_1_paired	(1, 38.6421834344861)	(2, 39.2014378164214)	(3, 39.253412742305756)	(4, 39.3857670345877)	(5, 39.38955133089894)	(6, 39.35454869173958)	(7, 39.33524890065051)	(8, 39.352195966739984)	(9, 39.33926018268147)	(10, 39.36302138409647)	(15, 39.56653942255553)	(20, 39.61175665929864)	(25, 39.457543762306315)	(30, 39.43756781798868)	(35, 39.48478387964411)	(40, 39.50416855078023)	(45, 39.511292364088504)	(50, 39.519708093516726)	(55, 39.51146752518555)	(60, 39.511234168013075)	(65, 39.50547141836557)	(70, 39.494214183129046)	(75, 39.48148472415032)	(80, 39.459141579274785)	(85, 39.44206975321147)	(90, 39.41334816663315)	(95, 39.37443209718231)	(100, 39.363168606009694)	(105, 39.3302697801959)	(110, 39.299783612854846)	(115, 39.27183704156821)	(120, 39.242343058173745)	(125, 39.20087736155243)	(130, 39.15859123573423)	(135, 39.114345655162246)	(140, 39.10614833533411)	(145, 39.072478346633496)	(150, 39.117557826862495)
DRR898360_2_paired	(1, 37.42823137891423)	(2, 38.43567627032438)	(3, 38.568187290841365)	(4, 38.89925076697754)	(5, 39.00278928219069)	(6, 39.03246316135862)	(7, 39.081672224213854)	(8, 39.11446265334297)	(9, 39.15023031844655)	(10, 39.24478548348259)	(15, 39.31759829892818)	(20, 39.373621977502)	(25, 39.10695410985268)	(30, 39.078043575253275)	(35, 39.14462246085161)	(40, 39.194603292072756)	(45, 39.23431776409386)	(50, 39.27000937830792)	(55, 39.28920064971093)	(60, 39.31028085118639)	(65, 39.31793164964735)	(70, 39.32359178429771)	(75, 39.31348154818111)	(80, 39.301065289486566)	(85, 39.29144477707464)	(90, 39.27278209615018)	(95, 39.264574404807796)	(100, 39.23460301484172)	(105, 39.21392482377943)	(110, 39.16280952376055)	(115, 39.133371075773404)	(120, 39.105649109124776)	(125, 39.06864067651909)	(130, 39.02089153353477)	(135, 38.98009164108532)	(140, 38.935456077842225)	(145, 38.92956566650784)	(150, 39.02731310190957)
DRR898362_1_paired	(1, 31.606239022397112)	(2, 31.643153837672685)	(3, 35.582782991473806)	(4, 36.16209972837158)	(5, 36.27044450484562)	(6, 39.84775660395491)	(7, 39.97175465356027)	(8, 40.075859031512316)	(9, 40.109085902856435)	(10, 40.04945417840215)	(15, 40.01438681372847)	(20, 39.98837887890042)	(25, 39.92824976843485)	(30, 39.8462611441647)	(35, 39.84052917172317)	(40, 39.82073031546341)	(45, 39.776140302089104)	(50, 39.728095436296655)	(55, 39.71686284264803)	(60, 39.67442719736194)	(65, 39.63463352937062)	(70, 39.59650698434295)	(75, 39.17438989237006)	(80, 39.54565341190907)	(85, 39.487033787749496)	(90, 39.34953749514994)	(95, 39.22470701227064)	(100, 39.091181587802865)	(105, 38.96134927068026)	(110, 38.7456811394726)	(115, 38.544184834386165)	(120, 38.342578248255535)	(125, 38.18134676032494)	(130, 38.027986931675045)	(135, 37.89939035298386)	(140, 37.63496923433604)	(145, 37.51764234443009)	(150, 36.10988378859827)
DRR898362_2_paired	(1, 31.507628531184203)	(2, 31.376121344262934)	(3, 34.7936425860535)	(4, 35.660527561706)	(5, 35.93637161739483)	(6, 39.25425410670687)	(7, 39.36496494537067)	(8, 39.3901143056259)	(9, 39.45231349940775)	(10, 39.45311735916093)	(15, 39.36027491838471)	(20, 39.32125110623578)	(25, 39.249565494759345)	(30, 39.183343936294975)	(35, 39.070426940205905)	(40, 39.055607545482374)	(45, 39.017016568709714)	(50, 38.96424788093776)	(55, 38.926491784233086)	(60, 38.84120036011957)	(65, 38.632532896931764)	(70, 38.635455165286245)	(75, 37.87208803716307)	(80, 38.385584688337275)	(85, 38.35313593409846)	(90, 38.00382376846941)	(95, 37.99864205473047)	(100, 37.76595429965805)	(105, 37.42031180798447)	(110, 37.24738107117792)	(115, 37.13031020047721)	(120, 37.0426338908847)	(125, 36.88816148983186)	(130, 36.81826630414943)	(135, 36.540122431853796)	(140, 36.388874909303)	(145, 36.06538592821159)	(150, 34.76133077228917)
DRR898363_1_paired	(1, 35.16639247371721)	(2, 36.07061973436425)	(3, 36.19509851745703)	(4, 36.27219508597061)	(5, 36.30161173746066)	(6, 36.26223250979129)	(7, 36.200381500169385)	(8, 36.16547769455881)	(9, 36.151520658762664)	(10, 36.19846723162961)	(15, 36.443011881863455)	(20, 36.48438560184751)	(25, 36.38850427524282)	(30, 36.39988844713006)	(35, 36.470155865974974)	(40, 36.488824767402335)	(45, 36.52113770627883)	(50, 36.54367566723924)	(55, 36.53845316727918)	(60, 36.524701364787845)	(65, 36.5310561639519)	(70, 36.52830972809282)	(75, 36.501831795374606)	(80, 36.48751813718174)	(85, 36.49250473555945)	(90, 36.465920550553825)	(95, 36.45736810819329)	(100, 36.4417947275776)	(105, 36.42385572782506)	(110, 36.404238497957)	(115, 36.36465033943768)	(120, 36.35225933905978)	(125, 36.334522277760115)	(130, 36.322582522792075)	(135, 36.2736896870127)	(140, 36.2707366151706)	(145, 36.228486511657806)	(150, 36.368640606818374)
DRR898363_2_paired	(1, 33.87592955972356)	(2, 35.91877171697509)	(3, 36.003014664982096)	(4, 36.16748975245832)	(5, 36.207690228249945)	(6, 36.25232544390172)	(7, 36.26746112283629)	(8, 36.28032354134357)	(9, 36.3177850025645)	(10, 36.407336103017975)	(15, 36.479083380637476)	(20, 36.5127634505044)	(25, 36.387866515242706)	(30, 36.38327824760859)	(35, 36.44623204525048)	(40, 36.47419485504905)	(45, 36.50410702034476)	(50, 36.52031801474947)	(55, 36.52708359938388)	(60, 36.53369854743585)	(65, 36.53674981029421)	(70, 36.522126293763165)	(75, 36.512266026376174)	(80, 36.51564006922832)	(85, 36.52094450677366)	(90, 36.48649602885199)	(95, 36.48861547362426)	(100, 36.44465741232561)	(105, 36.42282783383126)	(110, 36.39184386616711)	(115, 36.39015751374458)	(120, 36.37005051323742)	(125, 36.35706190434088)	(130, 36.33384984723316)	(135, 36.29583664576442)	(140, 36.25978760702667)	(145, 36.25433003990089)	(150, 36.41866162471091)
