Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
DRR898355_1_paired	(19.0, 3.0)	(20.0, 76.0)	(21.0, 387.0)	(22.0, 1143.0)	(23.0, 1969.0)	(24.0, 3087.0)	(25.0, 4012.0)	(26.0, 5318.0)	(27.0, 6491.0)	(28.0, 8732.0)	(29.0, 10969.0)	(30.0, 14078.0)	(31.0, 17163.0)	(32.0, 22261.0)	(33.0, 29480.0)	(34.0, 40591.0)	(35.0, 58985.0)	(36.0, 95696.0)	(37.0, 164895.0)	(38.0, 408247.0)	(39.0, 3072533.0)	(40.0, 1604129.0)				
DRR898355_2_paired	(17.0, 2.0)	(18.0, 24.0)	(19.0, 223.0)	(20.0, 1245.0)	(21.0, 3317.0)	(22.0, 5439.0)	(23.0, 6539.0)	(24.0, 7605.0)	(25.0, 7856.0)	(26.0, 8890.0)	(27.0, 9434.0)	(28.0, 11350.0)	(29.0, 13527.0)	(30.0, 16575.0)	(31.0, 19887.0)	(32.0, 25422.0)	(33.0, 33008.0)	(34.0, 46032.0)	(35.0, 66702.0)	(36.0, 110812.0)	(37.0, 197406.0)	(38.0, 509621.0)	(39.0, 3190159.0)	(40.0, 1279170.0)		
DRR898359_1_paired	(20.0, 14.0)	(21.0, 82.0)	(22.0, 251.0)	(23.0, 398.0)	(24.0, 554.0)	(25.0, 840.0)	(26.0, 1071.0)	(27.0, 1356.0)	(28.0, 1823.0)	(29.0, 2313.0)	(30.0, 3129.0)	(31.0, 3797.0)	(32.0, 5137.0)	(33.0, 6680.0)	(34.0, 9720.0)	(35.0, 14072.0)	(36.0, 23608.0)	(37.0, 40832.0)	(38.0, 102430.0)	(39.0, 867308.0)	(40.0, 577258.0)					
DRR898359_2_paired	(18.0, 1.0)	(19.0, 47.0)	(20.0, 185.0)	(21.0, 500.0)	(22.0, 919.0)	(23.0, 1160.0)	(24.0, 1404.0)	(25.0, 1412.0)	(26.0, 1617.0)	(27.0, 1727.0)	(28.0, 2172.0)	(29.0, 2630.0)	(30.0, 3231.0)	(31.0, 4008.0)	(32.0, 5255.0)	(33.0, 6810.0)	(34.0, 9786.0)	(35.0, 14732.0)	(36.0, 24810.0)	(37.0, 46378.0)	(38.0, 122175.0)	(39.0, 942489.0)	(40.0, 469225.0)			
DRR898360_1_paired	(19.0, 2.0)	(20.0, 11.0)	(21.0, 157.0)	(22.0, 403.0)	(23.0, 790.0)	(24.0, 1166.0)	(25.0, 1610.0)	(26.0, 2211.0)	(27.0, 2744.0)	(28.0, 3728.0)	(29.0, 4852.0)	(30.0, 6322.0)	(31.0, 8223.0)	(32.0, 10852.0)	(33.0, 14587.0)	(34.0, 21113.0)	(35.0, 31382.0)	(36.0, 53231.0)	(37.0, 96173.0)	(38.0, 251175.0)	(39.0, 1872670.0)	(40.0, 947204.0)				
DRR898360_2_paired	(17.0, 1.0)	(18.0, 12.0)	(19.0, 159.0)	(20.0, 674.0)	(21.0, 1801.0)	(22.0, 3002.0)	(23.0, 3449.0)	(24.0, 4020.0)	(25.0, 4128.0)	(26.0, 4523.0)	(27.0, 5141.0)	(28.0, 6143.0)	(29.0, 7182.0)	(30.0, 9028.0)	(31.0, 11051.0)	(32.0, 14456.0)	(33.0, 19043.0)	(34.0, 26893.0)	(35.0, 40082.0)	(36.0, 67900.0)	(37.0, 126039.0)	(38.0, 330944.0)	(39.0, 1924436.0)	(40.0, 720499.0)		
DRR898362_1_paired	(22.0, 1.0)	(23.0, 4.0)	(24.0, 45.0)	(25.0, 217.0)	(26.0, 686.0)	(27.0, 2074.0)	(28.0, 4821.0)	(29.0, 9304.0)	(30.0, 15627.0)	(31.0, 22640.0)	(32.0, 30627.0)	(33.0, 39029.0)	(34.0, 47845.0)	(35.0, 58125.0)	(36.0, 72076.0)	(37.0, 92992.0)	(38.0, 132988.0)	(39.0, 263124.0)	(40.0, 903842.0)							
DRR898362_2_paired	(19.0, 3.0)	(20.0, 17.0)	(21.0, 68.0)	(22.0, 254.0)	(23.0, 785.0)	(24.0, 1796.0)	(25.0, 3480.0)	(26.0, 6357.0)	(27.0, 10400.0)	(28.0, 15890.0)	(29.0, 22518.0)	(30.0, 30595.0)	(31.0, 40038.0)	(32.0, 50322.0)	(33.0, 62508.0)	(34.0, 75519.0)	(35.0, 91957.0)	(36.0, 112247.0)	(37.0, 140320.0)	(38.0, 191544.0)	(39.0, 314620.0)	(40.0, 524829.0)				
DRR898363_1_paired	(18.0, 1.0)	(19.0, 20.0)	(20.0, 131.0)	(21.0, 324.0)	(22.0, 554.0)	(23.0, 713.0)	(24.0, 800.0)	(25.0, 934.0)	(26.0, 1287.0)	(27.0, 1935.0)	(28.0, 3043.0)	(29.0, 5135.0)	(30.0, 9210.0)	(31.0, 16859.0)	(32.0, 32927.0)	(33.0, 61135.0)	(34.0, 108970.0)	(35.0, 216010.0)	(36.0, 1316057.0)	(37.0, 854098.0)						
DRR898363_2_paired	(18.0, 7.0)	(19.0, 80.0)	(20.0, 386.0)	(21.0, 728.0)	(22.0, 931.0)	(23.0, 1064.0)	(24.0, 1059.0)	(25.0, 1085.0)	(26.0, 1338.0)	(27.0, 1820.0)	(28.0, 2874.0)	(29.0, 4623.0)	(30.0, 7696.0)	(31.0, 13745.0)	(32.0, 27447.0)	(33.0, 53149.0)	(34.0, 104750.0)	(35.0, 228635.0)	(36.0, 1416489.0)	(37.0, 762237.0)						
