Sample	Unique Reads	Duplicate Reads
DRR898355_1_paired	3751449.0	1818796.0
DRR898355_2_paired	3780821.0	1789424.0
DRR898359_1_paired	1387071.0	275602.0
DRR898359_2_paired	1385572.0	277101.0
DRR898360_1_paired	2491488.0	839118.0
DRR898360_2_paired	2505674.0	824932.0
DRR898362_1_paired	1399865.0	296202.0
DRR898362_2_paired	1419516.0	276551.0
DRR898363_1_paired	2144818.0	485325.0
DRR898363_2_paired	2145662.0	484481.0
DRR898364_1_paired	2361365.0	597022.0
DRR898364_2_paired	2361925.0	596462.0
DRR898365_1_paired	2154830.0	490456.0
DRR898365_2_paired	2161184.0	484102.0
DRR898366_1_paired	2245409.0	537366.0
DRR898366_2_paired	2249414.0	533361.0
DRR898368_1_paired	1739498.0	347461.0
DRR898368_2_paired	1740095.0	346864.0
DRR898372_1_paired	1716443.0	324215.0
DRR898372_2_paired	1717804.0	322854.0
DRR898376_1_paired	1080418.0	190446.0
DRR898376_2_paired	1073701.0	197163.0
DRR898377_1_paired	1265743.0	259503.0
DRR898377_2_paired	1260630.0	264616.0
DRR898379_1_paired	2773130.0	911608.0
DRR898379_2_paired	2770493.0	914245.0
DRR898407_1_paired	1564533.0	291739.0
DRR898407_2_paired	1555808.0	300464.0
DRR898409_1_paired	1703400.0	458316.0
DRR898409_2_paired	1698521.0	463195.0
DRR898410_1_paired	2974238.0	1230533.0
DRR898410_2_paired	2989804.0	1214967.0
DRR898411_1_paired	877472.0	160640.0
DRR898411_2_paired	888137.0	149975.0
DRR898421_1_paired	1534401.0	354685.0
DRR898421_2_paired	1535657.0	353429.0
DRR898438_1_paired	1865322.0	576444.0
DRR898438_2_paired	1857458.0	584308.0
