Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR898355_1_paired	(1.0, 47.589793191172134)	(2.0, 25.464581154876598)	(3.0, 12.732004771196138)	(4.0, 6.282768156100765)	(5.0, 3.0912936615967013)	(6.0, 1.514431385828569)	(7.0, 0.8718040575525218)	(8.0, 0.5350816074848463)	(9.0, 0.3542031542825554)	('>10', 1.5576799771547074)	('>50', 0.0015987115509588264)	('>100', 0.004760171203549186)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898355_2_paired	(1.0, 48.55176295522937)	(2.0, 25.20341772458024)	(3.0, 12.362361684630422)	(4.0, 5.8832543706823754)	(5.0, 2.8807907876835275)	(6.0, 1.4197555100266919)	(7.0, 0.7827458965495828)	(8.0, 0.5217739469262336)	(9.0, 0.3321501051164386)	('>10', 1.4610284991525577)	('>50', 0.006904886765411374)	('>100', 0.060589833129144816)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.5334637995279786)
DRR898359_1_paired	(1.0, 70.51396753786716)	(2.0, 20.584181456114887)	(3.0, 5.853815325547637)	(4.0, 1.8521445749595684)	(5.0, 0.6013883402638679)	(6.0, 0.26001018780380775)	(7.0, 0.1336871356278575)	(8.0, 0.07585803740705392)	(9.0, 0.04107253490033031)	('>10', 0.07993498236567494)	('>50', 0.003939887142153134)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898359_2_paired	(1.0, 70.56326735038193)	(2.0, 20.4230478967944)	(3.0, 5.750483804807671)	(4.0, 1.7434939264969782)	(5.0, 0.6661087034598511)	(6.0, 0.2197722429120834)	(7.0, 0.1357374716198533)	(8.0, 0.0607786253854402)	(9.0, 0.03584843173428065)	('>10', 0.07705175734973306)	('>50', 0.013480952606938565)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.31092883645083325)	('>5k', 0.0)	('>10k+', 0.0)
DRR898360_1_paired	(1.0, 57.85930386559339)	(2.0, 24.27225218328894)	(3.0, 9.451068764948527)	(4.0, 3.9052997517952255)	(5.0, 1.7131127107158708)	(6.0, 0.8619590109968239)	(7.0, 0.4224176958687224)	(8.0, 0.32628340834696523)	(9.0, 0.21211848771024658)	('>10', 0.9725239438535909)	('>50', 0.0)	('>100', 0.003660176881682815)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898360_2_paired	(1.0, 58.93667282828774)	(2.0, 23.36342370588739)	(3.0, 9.163083118801937)	(4.0, 3.6399280091754664)	(5.0, 1.6263970216455375)	(6.0, 0.7763014667497845)	(7.0, 0.4289139198409027)	(8.0, 0.283752344537432)	(9.0, 0.22225989035727775)	('>10', 0.9374359215354551)	('>50', 0.016876271254560548)	('>100', 0.06291622607101277)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.5420392758555171)
DRR898362_1_paired	(1.0, 69.54041399247282)	(2.0, 20.09297330910255)	(3.0, 6.265636021322529)	(4.0, 2.170295824114697)	(5.0, 0.8987531807297632)	(6.0, 0.4161817842263441)	(7.0, 0.20442839533751808)	(8.0, 0.11268947845641758)	(9.0, 0.0757139520433273)	('>10', 0.2229140621940216)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898362_2_paired	(1.0, 71.43077192524287)	(2.0, 19.14004954488767)	(3.0, 5.782019734945333)	(4.0, 1.9378775491023075)	(5.0, 0.8110147066911275)	(6.0, 0.33336803345851723)	(7.0, 0.1938188013277227)	(8.0, 0.12375395412133262)	(9.0, 0.059321576889846794)	('>10', 0.18800417333330183)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898363_1_paired	(1.0, 67.03674406841941)	(2.0, 23.076899285129855)	(3.0, 6.910377409179658)	(4.0, 1.9722349988220498)	(5.0, 0.5741586163973094)	(6.0, 0.21284644649071743)	(7.0, 0.07387864941431095)	(8.0, 0.05024286458388542)	(9.0, 0.036104934750164235)	('>10', 0.05651272681265186)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898363_2_paired	(1.0, 67.09007450020574)	(2.0, 23.243490057454917)	(3.0, 6.720290855618813)	(4.0, 1.8270173488081571)	(5.0, 0.5596104720356985)	(6.0, 0.1874283804164148)	(7.0, 0.08051909899036509)	(8.0, 0.04449326682739562)	(9.0, 0.03491004530463962)	('>10', 0.08599226217628311)	('>50', 0.0034911323176130033)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.12268257984396035)	('>5k', 0.0)	('>10k+', 0.0)
