Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
DRR898355_1_paired	(35, 2058.0)	(40, 2440.0)	(45, 2321.0)	(50, 2309.0)	(55, 2267.0)	(60, 2144.0)	(65, 2134.0)	(70, 2156.0)	(75, 2021.0)	(80, 2199.0)	(85, 2100.0)	(90, 2146.0)	(95, 2318.0)	(100, 2149.0)	(105, 2324.0)	(110, 2414.0)	(115, 2363.0)	(120, 2551.0)	(125, 2643.0)	(130, 2675.0)	(135, 2996.0)	(140, 2962.0)	(145, 14819.0)	(150, 5503736.0)
DRR898355_2_paired	(35, 5063.0)	(40, 5457.0)	(45, 4711.0)	(50, 4011.0)	(55, 3767.0)	(60, 3302.0)	(65, 3121.0)	(70, 2852.0)	(75, 2883.0)	(80, 2729.0)	(85, 2619.0)	(90, 2644.0)	(95, 2547.0)	(100, 2468.0)	(105, 2538.0)	(110, 2653.0)	(115, 2686.0)	(120, 2813.0)	(125, 3033.0)	(130, 3160.0)	(135, 3374.0)	(140, 3578.0)	(145, 15809.0)	(150, 5482427.0)
DRR898359_1_paired	(35, 398.0)	(40, 551.0)	(45, 506.0)	(50, 510.0)	(55, 500.0)	(60, 452.0)	(65, 469.0)	(70, 492.0)	(75, 518.0)	(80, 492.0)	(85, 493.0)	(90, 534.0)	(95, 529.0)	(100, 527.0)	(105, 560.0)	(110, 527.0)	(115, 599.0)	(120, 562.0)	(125, 679.0)	(130, 728.0)	(135, 694.0)	(140, 745.0)	(145, 3570.0)	(150, 1647038.0)
DRR898359_2_paired	(35, 924.0)	(40, 1068.0)	(45, 911.0)	(50, 795.0)	(55, 720.0)	(60, 661.0)	(65, 590.0)	(70, 537.0)	(75, 584.0)	(80, 554.0)	(85, 524.0)	(90, 569.0)	(95, 504.0)	(100, 553.0)	(105, 536.0)	(110, 555.0)	(115, 585.0)	(120, 653.0)	(125, 635.0)	(130, 669.0)	(135, 733.0)	(140, 702.0)	(145, 3373.0)	(150, 1644738.0)
DRR898360_1_paired	(35, 821.0)	(40, 989.0)	(45, 991.0)	(50, 975.0)	(55, 1035.0)	(60, 972.0)	(65, 933.0)	(70, 945.0)	(75, 975.0)	(80, 969.0)	(85, 990.0)	(90, 1001.0)	(95, 1083.0)	(100, 995.0)	(105, 1072.0)	(110, 1101.0)	(115, 1160.0)	(120, 1263.0)	(125, 1355.0)	(130, 1390.0)	(135, 1431.0)	(140, 1472.0)	(145, 7867.0)	(150, 3298821.0)
DRR898360_2_paired	(35, 2816.0)	(40, 2902.0)	(45, 2511.0)	(50, 2183.0)	(55, 1925.0)	(60, 1833.0)	(65, 1600.0)	(70, 1542.0)	(75, 1463.0)	(80, 1377.0)	(85, 1367.0)	(90, 1400.0)	(95, 1359.0)	(100, 1368.0)	(105, 1303.0)	(110, 1405.0)	(115, 1513.0)	(120, 1597.0)	(125, 1680.0)	(130, 1741.0)	(135, 1905.0)	(140, 1983.0)	(145, 9114.0)	(150, 3282719.0)
DRR898362_1_paired	(35, 1042.0)	(40, 1427.0)	(45, 1451.0)	(50, 1633.0)	(55, 1864.0)	(60, 2002.0)	(65, 2110.0)	(70, 2323.0)	(75, 2861.0)	(80, 2940.0)	(85, 3798.0)	(90, 5351.0)	(95, 6873.0)	(100, 8123.0)	(105, 9485.0)	(110, 11831.0)	(115, 13364.0)	(120, 14683.0)	(125, 15786.0)	(130, 16402.0)	(135, 17033.0)	(140, 18617.0)	(145, 38013.0)	(150, 1497055.0)
DRR898362_2_paired	(35, 4453.0)	(40, 5701.0)	(45, 5828.0)	(50, 6242.0)	(55, 6497.0)	(60, 7109.0)	(65, 7620.0)	(70, 8377.0)	(75, 12681.0)	(80, 13690.0)	(85, 15559.0)	(90, 18701.0)	(95, 20077.0)	(100, 22220.0)	(105, 25263.0)	(110, 25407.0)	(115, 26174.0)	(120, 24786.0)	(125, 24661.0)	(130, 26611.0)	(135, 27088.0)	(140, 28610.0)	(145, 61758.0)	(150, 1270954.0)
DRR898363_1_paired	(35, 1765.0)	(40, 1968.0)	(45, 1770.0)	(50, 1632.0)	(55, 1683.0)	(60, 1495.0)	(65, 1626.0)	(70, 1537.0)	(75, 1539.0)	(80, 1527.0)	(85, 1576.0)	(90, 1591.0)	(95, 1652.0)	(100, 1647.0)	(105, 1734.0)	(110, 1809.0)	(115, 1919.0)	(120, 1988.0)	(125, 2001.0)	(130, 2194.0)	(135, 2180.0)	(140, 2336.0)	(145, 13010.0)	(150, 2577964.0)
DRR898363_2_paired	(35, 1805.0)	(40, 2044.0)	(45, 1775.0)	(50, 1564.0)	(55, 1460.0)	(60, 1370.0)	(65, 1276.0)	(70, 1335.0)	(75, 1261.0)	(80, 1178.0)	(85, 1230.0)	(90, 1231.0)	(95, 1313.0)	(100, 1400.0)	(105, 1448.0)	(110, 1426.0)	(115, 1460.0)	(120, 1598.0)	(125, 1507.0)	(130, 1661.0)	(135, 1827.0)	(140, 1863.0)	(145, 11075.0)	(150, 2586036.0)
