Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
DRR898355_1_paired	DRR898355_1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	5570245.0	837.8 Mbp	0.0	36-151	57.0	67.3479921202813	150.44173532762025	151	pass	pass	warn	pass	warn	warn	pass	warn	warn	pass	pass
DRR898355_2_paired	DRR898355_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	5570245.0	836.1 Mbp	0.0	36-151	57.0	67.87530378270148	150.1307838344633	151	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
DRR898359_1_paired	DRR898359_1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	1662673.0	250.3 Mbp	0.0	36-151	57.0	83.42411035867833	150.57511188309428	151	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
DRR898359_2_paired	DRR898359_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	1662673.0	250 Mbp	0.0	36-151	57.0	83.33396229700816	150.42344044800151	151	pass	pass	warn	pass	pass	warn	pass	warn	pass	warn	pass
DRR898360_1_paired	DRR898360_1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	3330606.0	501.4 Mbp	0.0	36-151	56.0	74.80582514579795	150.5807579761761	151	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
DRR898360_2_paired	DRR898360_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	3330606.0	500.2 Mbp	0.0	36-151	57.0	75.23176285159873	150.22148011503012	151	pass	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
DRR898362_1_paired	DRR898362_1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	1696067.0	249.8 Mbp	0.0	36-151	58.0	82.53594105640474	147.4322883470995	151	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
DRR898362_2_paired	DRR898362_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	1696067.0	239.1 Mbp	0.0	36-151	58.0	83.69452346816333	141.12665065707898	151	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
DRR898363_1_paired	DRR898363_1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2630143.0	394.7 Mbp	0.0	36-151	57.0	81.54754355977006	150.10363580991603	151	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
DRR898363_2_paired	DRR898363_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2630143.0	395 Mbp	0.0	36-151	57.0	81.57964097601266	150.21108928297815	151	pass	pass	warn	pass	warn	warn	pass	warn	pass	warn	pass
DRR898364_1_paired	DRR898364_1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2958387.0	444 Mbp	0.0	36-151	57.0	79.81931048753323	150.11940560852923	151	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
DRR898364_2_paired	DRR898364_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2958387.0	444.2 Mbp	0.0	36-151	57.0	79.83825138325452	150.18927036929244	151	pass	pass	warn	pass	warn	warn	pass	warn	pass	warn	pass
DRR898365_1_paired	DRR898365_1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2645286.0	396.9 Mbp	0.0	36-151	57.0	81.4592096771176	150.08308099766907	151	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
DRR898365_2_paired	DRR898365_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2645286.0	397.2 Mbp	0.0	36-151	57.0	81.69942589939494	150.18161779104415	151	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
DRR898366_1_paired	DRR898366_1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2782775.0	417.5 Mbp	0.0	36-151	57.0	80.68954011174594	150.0729663734941	151	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
DRR898366_2_paired	DRR898366_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2782775.0	418 Mbp	0.0	36-151	57.0	80.83345175573918	150.24588046105058	151	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
DRR898368_1_paired	DRR898368_1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2086959.0	313.6 Mbp	0.0	36-151	58.0	83.35081323281489	150.29890716588108	151	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
DRR898368_2_paired	DRR898368_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2086959.0	313.8 Mbp	0.0	36-151	58.0	83.37941265879978	150.3925879713018	151	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
