Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
DRR898355_1_paired	32.652007879718695	57.0	150.44173532762025	151	0.0	5.570245
DRR898355_2_paired	32.12469621729852	57.0	150.1307838344633	151	0.0	5.570245
DRR898359_1_paired	16.575889641321666	57.0	150.57511188309428	151	0.0	1.6626729999999998
DRR898359_2_paired	16.666037702991844	57.0	150.42344044800151	151	0.0	1.6626729999999998
DRR898360_1_paired	25.194174854202046	56.0	150.5807579761761	151	0.0	3.330606
DRR898360_2_paired	24.76823714840127	57.0	150.22148011503012	151	0.0	3.330606
DRR898362_1_paired	17.464058943595262	58.0	147.4322883470995	151	0.0	1.696067
DRR898362_2_paired	16.305476531836675	58.0	141.12665065707898	151	0.0	1.696067
DRR898363_1_paired	18.452456440229938	57.0	150.10363580991603	151	0.0	2.630143
DRR898363_2_paired	18.420359023987345	57.0	150.21108928297815	151	0.0	2.630143
DRR898364_1_paired	20.18068951246677	57.0	150.11940560852923	151	0.0	2.9583869999999997
DRR898364_2_paired	20.161748616745484	57.0	150.18927036929244	151	0.0	2.9583869999999997
DRR898365_1_paired	18.5407903228824	57.0	150.08308099766907	151	0.0	2.645286
DRR898365_2_paired	18.30057410060506	57.0	150.18161779104415	151	0.0	2.645286
DRR898366_1_paired	19.31045988825406	57.0	150.0729663734941	151	0.0	2.782775
DRR898366_2_paired	19.166548244260824	57.0	150.24588046105058	151	0.0	2.782775
DRR898368_1_paired	16.649186767185114	58.0	150.29890716588108	151	0.0	2.086959
DRR898368_2_paired	16.62058734120022	58.0	150.3925879713018	151	0.0	2.086959
DRR898372_1_paired	15.887805999743989	57.0	150.21916068248575	151	0.0	2.040658
DRR898372_2_paired	15.821114681410691	57.0	150.2943937690686	151	0.0	2.040658
DRR898376_1_paired	14.985601039064548	57.0	150.37983450628863	151	0.0	1.270864
DRR898376_2_paired	15.51410121641426	57.0	150.3172526721978	151	0.0	1.270864
DRR898377_1_paired	17.013908772415178	57.0	150.4635494864435	151	0.0	1.5252459999999999
DRR898377_2_paired	17.349103940739468	57.0	150.3745985893423	151	0.0	1.5252459999999999
DRR898379_1_paired	24.740116847425924	57.0	150.4046483087807	151	9.090909090909092	3.684738
DRR898379_2_paired	24.811693065122014	57.0	150.27963399297317	151	9.090909090909092	3.684738
DRR898407_1_paired	15.716406474011151	57.0	150.25139850194367	151	0.0	1.856272
DRR898407_2_paired	16.186430957608252	57.0	150.22094121982124	151	0.0	1.856272
DRR898409_1_paired	21.201513970435244	56.0	150.3279917435963	151	0.0	2.1617159999999997
DRR898409_2_paired	21.427225690220524	56.0	150.33423446928273	151	0.0	2.1617159999999997
DRR898410_1_paired	29.265174826340868	57.0	150.47275511555802	151	0.0	4.204771
DRR898410_2_paired	28.89496279696229	57.0	150.2048484923436	151	0.0	4.204771
DRR898411_1_paired	15.474328226979523	57.0	149.9565788662495	151	0.0	1.038112
DRR898411_2_paired	14.446919955215591	57.0	146.80798121975278	151	0.0	1.038112
DRR898421_1_paired	18.7755305981771	56.0	150.25994793249222	151	0.0	1.8890859999999998
DRR898421_2_paired	18.709034040978437	56.0	150.43565830248068	151	0.0	1.8890859999999998
DRR898438_1_paired	23.607683181654096	57.0	150.7140323847576	151	0.0	2.441766
DRR898438_2_paired	23.929740752671307	57.0	150.36817778607778	151	0.0	2.441766
