All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    DRR898355_contigs  DRR898359_contigs  DRR898360_contigs  DRR898362_contigs  DRR898363_contigs  DRR898364_contigs  DRR898365_contigs  DRR898366_contigs  DRR898368_contigs  DRR898372_contigs  DRR898376_contigs  DRR898377_contigs  DRR898379_contigs  DRR898407_contigs  DRR898409_contigs  DRR898410_contigs  DRR898411_contigs  DRR898421_contigs  DRR898438_contigs
# contigs (>= 0 bp)         4074               3516               3742               2247               2021               2740               2595               2052               1522               1744               3420               2286               4575               2873               4685               4216               1300               974                7058             
# contigs (>= 1000 bp)      64                 60                 51                 67                 57                 60                 56                 63                 72                 60                 137                144                56                 114                125                77                 101                140                116              
# contigs (>= 5000 bp)      42                 47                 39                 46                 39                 40                 39                 45                 53                 42                 107                110                38                 84                 61                 54                 74                 77                 69               
# contigs (>= 10000 bp)     40                 44                 37                 45                 38                 39                 32                 43                 49                 40                 88                 89                 36                 72                 50                 49                 66                 72                 62               
# contigs (>= 25000 bp)     35                 41                 32                 34                 32                 31                 29                 36                 41                 33                 61                 61                 29                 53                 35                 41                 53                 48                 50               
# contigs (>= 50000 bp)     31                 32                 28                 27                 29                 27                 26                 32                 31                 28                 34                 38                 26                 42                 26                 33                 41                 35                 36               
Total length (>= 0 bp)      6757511            6462678            6531959            6104221            6042130            6231095            6203048            6054878            5880428            5946382            6134073            5812668            6706608            6229557            6957148            6608765            5916662            5779722            7835305          
Total length (>= 1000 bp)   5527716            5468850            5467582            5531934            5505293            5504465            5504472            5505628            5504758            5504076            5257069            5260704            5506058            5512428            5724210            5495103            5603003            5557552            5531578          
Total length (>= 5000 bp)   5485842            5435414            5436677            5482346            5459893            5456423            5467876            5463746            5459890            5458721            5182188            5181624            5460666            5433684            5583904            5442864            5532137            5419038            5432695          
Total length (>= 10000 bp)  5475503            5417194            5426338            5474475            5452892            5449422            5416001            5448627            5429303            5443604            5043118            5034078            5445553            5337295            5514128            5411388            5464512            5380993            5380243          
Total length (>= 25000 bp)  5388344            5363753            5339265            5283279            5354218            5307686            5370197            5321301            5292848            5309758            4585601            4553265            5323755            5001454            5265657            5246735            5221261            4966868            5155864          
Total length (>= 50000 bp)  5244271            5021380            5195226            5038839            5250635            5176567            5266752            5185498            4946654            5145862            3571981            3749869            5220310            4622458            4973626            4967259            4766397            4483226            4690083          
# contigs                   300                154                162                85                 90                 96                 97                 95                 83                 74                 187                162                81                 137                209                133                120                205                828              
Largest contig              738256             460720             982029             582848             635075             1076559            840705             395959             395959             625741             439106             222977             1328600            505890             470627             604042             258415             437180             516116           
Total length                5671022            5524545            5533774            5543151            5525403            5525817            5530169            5525294            5512105            5512930            5288690            5273074            5521449            5527621            5779716            5530853            5615550            5603679            5981391          
GC (%)                      57.13              57.26              57.26              57.22              57.19              57.18              57.18              57.18              57.20              57.20              57.17              57.23              57.19              57.21              57.01              57.15              57.13              57.09              56.83            
N50                         182716             165345             240738             203958             250626             202822             251853             195821             195487             240900             85721              81964              193682             103176             225308             172660             119304             138738             120647           
N90                         75382              63155              75382              50755              79492              72667              79492              70495              47053              73831              20551              20551              80307              26221              26257              44224              34591              23722              9585             
auN                         242625.2           197856.2           336563.1           261933.6           261018.6           377007.0           364428.2           203144.4           188639.9           243620.2           111014.3           90578.8            466874.2           137379.4           229917.8           214499.2           123562.6           143564.3           160141.6         
L50                         10                 11                 7                  8                  8                  7                  6                  10                 11                 9                  20                 22                 6                  17                 9                  10                 17                 14                 15               
L90                         29                 32                 25                 27                 25                 24                 22                 29                 32                 26                 69                 70                 23                 52                 33                 34                 48                 52                 63               
# N's per 100 kbp           0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00               0.00             
